red_raw,red_final (Filtered),ir_raw,ir_final (Filtered)
517,28.82,374,0.0
8029,5084.63,3076,1818.95
9313,6788.42,3718,2554.01
321603,216860.81,48702,32803.76
322639,251966.16,50152,38601.29
323768,240251.64,313574,214118.14
597183,401064.5,591548,427202.75
597233,407580.5,591618,444644.31
597226,374779.16,592142,411811.56
597255,334904.41,592255,368857.03
597463,296743.31,592831,327302.31
597440,262080.61,592830,289221.06
597612,231355.62,593382,255600.97
597617,204102.2,593381,225568.67
598101,180344.97,594002,199392.66
598118,159157.88,593993,175971.81
598483,140640.05,594801,155771.03
598481,124109.54,594815,137550.61
598481,109475.66,595006,121485.62
598490,96560.16,595009,107192.3
598428,85119.29,595096,94607.67
598409,75044.0,595092,83453.81
598408,66174.77,595092,73604.02
598186,58208.71,594788,64709.13
598188,51293.11,594788,57009.93
598067,45142.64,594649,50167.7
598063,39782.55,594642,44207.41
597565,34741.11,593718,38354.77
597551,30531.37,593681,33620.66
597296,26723.8,593160,29241.4
597305,23516.6,593160,25671.95
597232,20675.75,593018,22511.65
597230,18214.67,593020,19818.02
597283,16093.88,593135,17545.11
597283,14201.94,593150,15502.53
597331,12559.6,593230,13734.0
597325,11082.28,593230,12129.88
597332,9779.95,593240,10709.27
597335,8628.92,593245,9451.31
597333,7609.64,593233,8329.04
597345,6719.04,593280,7375.36
597339,5923.84,593268,6504.89
597303,5199.6,593229,5710.55
597302,4577.86,593220,5022.73
597193,3961.73,593020,4291.13
597193,3472.39,593027,3749.67
596848,2823.98,592332,2829.19
596833,2412.59,592307,2342.3
596561,1922.42,591781,1668.17
596556,1633.63,591777,1355.35
596416,1328.83,591554,1012.22
596422,1144.15,591538,829.79
596421,1000.44,591549,721.32
596348,830.75,591429,552.35
596351,719.95,591427,461.98
596275,580.18,591294,310.72
596269,492.02,591285,240.43
596274,431.72,591309,218.65
596263,372.67,591298,187.29
596240,310.89,591267,142.73
596240,269.1,591266,118.82
596216,219.73,591234,81.26
596216,188.81,591233,64.29
596069,66.16,590934,-146.66
596049,16.31,590910,-203.37
595728,-213.65,590266,-633.99
595716,-261.37,590256,-695.21
595699,-262.75,590239,-663.36
595376,-458.31,589589,-1036.86
595351,-485.49,589545,-1072.64
595070,-640.45,589031,-1336.97
595060,-631.96,589022,-1296.41
594884,-694.91,588699,-1394.21
594882,-653.37,588694,-1304.34
594812,-634.94,588572,-1253.71
594798,-586.04,588552,-1148.56
594743,-561.32,588487,-1068.94
594756,-498.89,588498,-951.25
594776,-427.61,588554,-803.61
594774,-374.95,588551,-700.72
594761,-338.81,588556,-612.33
594755,-305.17,588530,-555.88
