ecg_ts,ecg,bpm,leadOff
1320,4095,0,0
1332,0,0,1
1339,4095,0,0
1345,4095,0,0
1351,0,0,1
1357,4095,0,0
1363,4095,0,0
1369,442,0,0
1375,0,0,0
1391,0,0,1
1398,4095,0,0
1404,4095,0,0
1410,0,0,1
1416,4095,0,0
1422,4095,0,0
1428,4095,0,0
1510,0,0,1
1517,4095,0,0
1523,4095,0,0
1529,422,0,0
1535,0,0,1
1541,4095,0,0
1553,0,0,1
1560,4095,80,0
1566,4095,80,0
1572,0,0,1
1578,4095,0,0
1584,4095,0,0
1590,0,0,1
1598,4095,0,0
1613,0,0,1
1620,4095,0,0
1626,4095,0,0
1632,0,0,1
1638,4095,0,0
1644,4095,0,0
1650,0,0,1
1662,4095,0,0
1670,0,0,1
1676,4095,0,0
1682,4095,0,0
1688,560,0,0
1694,0,0,1
1700,4095,0,0
1707,4095,0,0
1718,4095,0,0
1725,4095,0,0
1731,0,0,1
1737,4095,0,0
1743,4095,0,0
1749,0,0,1
1755,0,0,0
1768,4095,0,0
1776,4095,0,0
1782,4095,0,0
1788,859,0,0
1794,0,0,1
1803,4095,0,0
1810,784,0,0
1822,4095,0,0
1830,959,0,0
1836,4095,0,0
1842,4095,0,0
1848,690,0,0
1854,0,0,1
1860,4095,0,0
1866,4095,0,0
1879,4095,0,0
1886,4095,0,0
1892,0,0,1
1898,4095,0,0
1905,4095,0,0
1913,0,0,1
1919,4095,0,0
1933,0,0,1
1941,4095,0,0
1947,4095,0,0
1953,0,0,1
1959,4095,0,0
1965,4095,0,0
1971,0,0,1
1977,4095,0,0
1991,0,0,0
1997,4095,0,0
2004,4095,0,0
2014,0,0,1
2021,4095,0,0
2027,4095,0,0
2037,4095,0,0
2045,4095,0,0
2051,0,0,1
2057,4095,0,0
2063,4095,0,0
2069,831,0,0
2075,0,0,1
2081,4095,103,0
2093,0,0,1
2101,4095,0,0
2110,0,0,0
2117,4095,0,0
2123,4095,0,0
2129,870,0,0
2135,0,0,1
2146,4095,0,0
2153,0,0,1
2159,4095,0,0
2165,4095,0,0
2171,0,0,0
2177,4095,0,0
2183,4095,0,0
2189,1031,0,0
2203,4095,0,0
2212,0,0,1
2219,4095,0,0
2225,4095,0,0
2231,0,0,0
2237,4095,0,0
2243,4095,0,0
2254,0,0,1
2262,4095,0,0
2268,915,0,0
2274,0,0,1
2280,4095,0,0
2286,4095,0,0
2292,0,0,1
2298,4095,0,0
2314,0,0,1
2322,4095,0,0
2329,927,0,0
2335,0,0,1
2341,4095,0,0
2347,4095,0,0
2353,0,0,1
2366,4095,0,0
2373,0,0,1
