pc_time_ms,emg_raw,emg_clean,emg_envelope,emg_ts,ppg_red_raw,ppg_ir_raw,ppg_red,ppg_ir,ppg_ts
55,0,0.0,0.0,7384,0,0,0,0,0
56,0,0,0,7273,0,0,0,0,0
162,0,0.0,0.0,7428,0,0,0,0,0
162,0,0,0,7317,0,0,0,0,0
163,0,0.0,0.0,7471,0,0,0,0,0
163,0,0,0,7359,0,0,0,0,0
209,0,0.0,0.0,7520,0,0,0,0,0
210,0,0,0,7408,0,0,0,0,0
259,0,0.0,0.0,7567,0,0,0,0,0
259,0,0,0,7456,0,0,0,0,0
369,0,0.0,0.0,7614,0,0,0,0,0
369,0,0,0,7503,0,0,0,0,0
370,0,0.0,0.0,7660,0,0,0,0,0
370,0,0,0,7548,0,0,0,0,0
370,0,0.0,0.0,7702,0,0,0,0,0
371,0,0,0,7590,0,0,0,0,0
573,0,0.0,0.0,7746,0,0,0,0,0
573,0,0,0,7635,0,0,0,0,0
574,0,0.0,0.0,7789,0,0,0,0,0
574,0,0,0,7677,0,0,0,0,0
574,0,0.0,0.0,7832,0,0,0,0,0
574,0,0,0,7720,0,0,0,0,0
576,0,0.0,0.0,7874,0,0,0,0,0
576,0,0,0,7762,0,0,0,0,0
576,0,0.0,0.0,7916,0,0,0,0,0
577,0,0,0,7804,0,0,0,0,0
629,0,0.0,0.0,7959,0,0,0,0,0
630,0,0,0,7848,0,0,0,0,0
778,0,0.0,0.0,8002,0,0,0,0,0
778,0,0,0,7891,0,0,0,0,0
779,0,0.0,0.0,8045,0,0,0,0,0
779,0,0,0,7934,0,0,0,0,0
779,0,0.0,0.0,8090,0,0,0,0,0
779,0,0,0,7978,0,0,0,0,0
831,0,0.0,0.0,8136,0,0,0,0,0
832,0,0,0,8024,0,0,0,0,0
832,0,0.0,0.0,8179,0,0,0,0,0
832,0,0,0,8067,0,0,0,0,0
981,0,0.0,0.0,8221,0,0,0,0,0
982,0,0,0,8110,0,0,0,0,0
982,0,0.0,0.0,8265,0,0,0,0,0
982,0,0,0,8154,0,0,0,0,0
983,0,0.0,0.0,8308,0,0,0,0,0
983,0,0,0,8196,0,0,0,0,0
1036,0,0.0,0.0,8349,0,0,0,0,0
1037,0,0,0,8238,0,0,0,0,0
1189,0,0.0,0.0,8395,0,0,0,0,0
1190,0,0,0,8284,0,0,0,0,0
1190,0,0.0,0.0,8438,0,0,0,0,0
1190,0,0,0,8326,0,0,0,0,0
1191,0,0.0,0.0,8480,0,0,0,0,0
1191,0,0,0,8368,0,0,0,0,0
1191,0,0.0,0.0,8523,0,0,0,0,0
1192,0,0,0,8411,0,0,0,0,0
1391,0,0.0,0.0,8564,0,0,0,0,0
1392,0,0,0,8453,0,0,0,0,0
1392,0,0.0,0.0,8607,0,0,0,0,0
1392,0,0,0,8495,0,0,0,0,0
1393,0,0.0,0.0,8650,0,0,0,0,0
1393,0,0,0,8538,0,0,0,0,0
1393,0,0.0,0.0,8692,0,0,0,0,0
1393,0,0,0,8580,0,0,0,0,0
1394,0,0.0,0.0,8734,0,0,0,0,0
1394,0,0,0,8622,0,0,0,0,0
1437,0,0.0,0.0,8775,0,0,0,0,0
1438,0,0,0,8664,0,0,0,0,0
1589,0,0.0,0.0,8819,0,0,0,0,0
1589,0,0,0,8708,0,0,0,0,0
1911,0,0.0,0.0,8863,0,0,0,0,0
1921,0,0,0,8752,0,0,0,0,0
1924,0,0.0,0.0,8906,0,0,0,0,0
1926,0,0,0,8794,0,0,0,0,0
1929,0,0.0,0.0,8950,0,0,0,0,0
1933,0,0,0,8838,0,0,0,0,0
1934,0,0.0,0.0,8993,0,0,0,0,0
1937,0,0,0,8881,0,0,0,0,0
1939,0,0.0,0.0,9035,0,0,0,0,0
1940,0,0,0,8923,0,0,0,0,0
1941,0,0.0,0.0,9078,0,0,0,0,0
1942,0,0,0,8966,0,0,0,0,0
1945,0,0.0,0.0,9119,0,0,0,0,0
1946,0,0,0,9007,0,0,0,0,0
2105,0,0.0,0.0,9161,0,0,0,0,0
2106,0,0,0,9050,0,0,0,0,0
2107,0,0.0,0.0,9204,0,0,0,0,0
2107,0,0,0,9092,0,0,0,0,0
2108,0,0.0,0.0,9246,0,0,0,0,0
2108,0,0,0,9134,0,0,0,0,0
2109,0,0.0,0.0,9289,0,0,0,0,0
2109,0,0,0,9177,0,0,0,0,0
2109,0,0.0,0.0,9330,0,0,0,0,0
2110,0,0,0,9218,0,0,0,0,0
