red_raw,red_final (Filtered),ir_raw,ir_final (Filtered)
10104,35.44,5719,94.3
10297,171.89,5771,127.92
10294,189.6,5782,132.96
10128,66.29,5657,38.85
10134,33.77,5648,5.88
10216,77.96,5681,19.33
10228,90.54,5686,24.43
10663,378.87,5941,195.31
10667,421.93,5979,247.27
10699,418.63,5989,246.16
12537,1619.69,7369,1154.03
12572,1807.88,7392,1299.9
15485,3663.28,9743,2809.28
15579,3882.79,9823,3004.66
17541,4930.59,11468,3907.2
17494,4745.42,11446,3788.85
18896,5241.81,12525,4165.39
18906,4930.31,12533,3913.4
20448,5473.61,13764,4348.2
20532,5204.12,13851,4148.56
24412,7308.66,16915,5810.52
24516,7289.48,16978,5779.21
24631,6746.26,17058,5336.98
595988,390649.38,589989,390444.06
596101,454083.44,590207,454268.31
598360,433165.34,594704,434939.06
598345,391311.19,594676,393325.12
596530,346526.22,591387,347438.12
596431,305944.22,591257,306481.59
594655,268716.59,588618,268533.69
594667,236679.48,588637,236335.92
595060,208908.19,589111,208607.83
595059,184288.42,589100,184017.53
595205,162638.59,589240,162393.88
595206,143465.44,589242,143248.8
595234,126551.96,589276,126364.66
595224,111608.94,589274,111450.1
595231,98434.27,589263,98283.93
595259,86830.59,589313,86709.88
595256,76580.63,589309,76476.88
595218,67512.8,589231,67395.15
595204,59523.88,589229,59420.79
595214,52496.9,589262,52421.63
595219,46301.55,589251,46228.88
595316,40900.26,589405,40872.78
595304,36081.24,589400,36072.11
595356,31858.59,589487,31878.33
595362,28111.35,589491,28135.32
595449,24854.54,589666,24936.79
595463,21946.8,589667,22027.96
595521,19401.93,589762,19500.91
595515,17120.06,589771,17225.26
595517,15102.4,589766,15195.51
595608,13381.41,589905,13495.87
595613,11822.31,589905,11929.18
595669,10469.9,590033,10614.36
595668,9245.27,590046,9396.4
595775,8228.9,590237,8425.43
595776,7279.28,590226,7462.55
595750,6408.45,590226,6590.43
595759,5654.59,590223,5812.76
595893,5077.91,590479,5298.85
595897,4506.84,590493,4731.65
596018,4064.28,590726,4346.41
596025,3614.53,590721,3879.15
595962,3153.88,590634,3375.61
595953,2765.8,590623,2956.63
595946,2429.99,590630,2606.43
595940,2136.39,590619,2290.95
595937,1880.14,590630,2025.59
595771,1545.23,590303,1567.78
595760,1323.22,590288,1310.32
595751,1149.64,590268,1121.53
595750,1008.23,590271,981.38
595747,885.55,590267,860.6
595744,777.93,590254,748.84
595654,624.62,590123,569.36
595657,535.39,590120,474.2
595521,376.27,589898,260.85
595520,303.83,589895,183.19
595440,206.13,589776,68.19
595442,165.55,589775,32.85
595434,135.96,589767,15.89
595396,91.52,589718,-22.76
595394,71.23,589721,-28.51
595361,37.96,589679,-55.84
595357,23.73,589679,-57.97
595265,-43.75,589486,-183.59
595248,-68.46,589478,-204.99
595231,-80.31,589438,-219.96
595239,-71.12,589458,-191.69
595243,-60.11,589471,-159.66
595243,-52.26,589486,-128.02
595241,-47.27,589504,-97.17
595243,-40.62,589505,-80.54
595247,-32.87,589539,-46.65
595259,-20.04,589539,-34.2
595252,-19.84,589531,-33.57
595312,22.34,589658,54.87
595317,34.37,589663,75.78
595402,91.69,589850,200.51
595410,103.74,589860,221.64
595444,120.9,589935,258.69
595443,114.3,589936,246.81
595439,100.26,589961,239.82
595438,87.62,589956,214.47
595351,18.47,589772,66.09
595336,-10.51,589765,18.53
595367,3.97,589809,34.69
595368,7.9,589821,43.86
595414,39.28,589907,100.38
595406,38.41,589909,107.42
595426,48.41,589912,102.17
595437,54.26,589948,116.44
595433,48.44,589952,112.89
595425,37.51,589939,93.69
595424,30.89,589944,84.34
595412,18.53,589939,71.53
595414,15.2,589937,60.92
595401,4.33,589908,33.65
595385,-9.54,589917,30.01
595405,1.24,589956,52.83
595408,5.83,589949,49.35
595423,16.6,590004,81.34
595421,16.59,590010,86.56
595405,4.42,589938,32.07
595377,-17.89,589930,10.27
595379,-20.63,589923,-0.78
595355,-35.7,589842,-58.05
595357,-35.14,589850,-62.12
595472,45.38,590045,73.43
595471,61.07,590053,106.61
595506,83.42,590090,130.86
595505,81.27,590109,138.67
595620,151.32,590296,254.8
595622,157.47,590303,267.18
596094,463.46,591171,831.99
596103,507.21,591190,916.27
596078,458.46,591152,834.39
596089,414.93,591151,742.68
596079,362.2,591149,655.64
596201,400.5,591351,714.33
596200,375.62,591349,667.37
596099,269.6,591176,482.79
596093,216.27,591186,402.34
596097,187.26,591192,352.18
596103,168.18,591192,309.81
595983,68.43,590960,116.88
595995,45.68,590970,65.35
596072,87.95,591068,112.88
596075,93.12,591071,117.31
596182,158.58,591248,227.61
596180,160.27,591241,231.4
595953,-5.64,590823,-68.59
595942,-54.18,590820,-140.09
595895,-93.5,590709,-220.91
595897,-94.13,590674,-246.1
595864,-108.52,590668,-235.65
595641,-253.09,590237,-503.26
595635,-272.02,590239,-526.58
595422,-397.17,589863,-741.04
595414,-400.45,589858,-735.64
595283,-455.6,589633,-823.6
595270,-439.73,589628,-779.47
595362,-336.63,589739,-627.85
595367,-278.96,589745,-532.7
595184,-364.13,589420,-682.56
595181,-356.75,589400,-676.01
595073,-397.49,589179,-766.02
595077,-371.41,589171,-729.28
594919,-439.87,588959,-801.21
594937,-407.75,588957,-752.87
594928,-371.31,588950,-681.86
594926,-332.19,588949,-607.13
594931,-290.88,588953,-534.35
594856,-306.45,588845,-543.63
594856,-284.41,588836,-506.13
594822,-277.78,588819,-465.43
594821,-253.35,588810,-421.94
594817,-228.49,588803,-380.02
594818,-202.26,588787,-348.18
594764,-214.96,588727,-351.2
594777,-191.25,588726,-322.97
594759,-181.23,588715,-296.0
594762,-161.43,588712,-266.2
594737,-159.62,588651,-277.31
594726,-153.07,588643,-262.08
594719,-143.22,588623,-249.61
594516,-265.24,588380,-388.9
594511,-276.85,588368,-399.15
594793,-66.55,588752,-109.47
594799,-4.13,588759,-22.82
594798,11.24,588777,12.97
594789,8.09,588765,12.81
594750,-19.63,588741,-4.52
594756,-20.92,588740,-9.11
594901,78.14,588993,160.82
594903,97.75,588994,190.49
594999,159.1,589129,272.72
594994,157.68,589136,275.06
594994,144.0,589144,257.8
594994,128.4,589072,183.16
594990,110.91,589068,146.3
595180,225.07,589292,275.47
595182,236.01,589296,287.29
595100,163.7,589113,142.78
595112,139.79,589123,101.2
595609,456.47,589747,502.3
595635,514.96,589786,586.76
596167,844.25,590373,953.57
596168,856.2,590382,971.08
596988,1338.87,591016,1320.24
597020,1368.51,591032,1307.14
597173,1363.28,591061,1212.93
597161,1238.75,591034,1068.67
597264,1172.17,591019,932.04
597259,1053.12,590996,803.57
597243,923.46,590962,680.54
597196,781.31,590801,483.77
597191,676.25,590783,381.4
596706,266.32,590027,-185.46
596693,132.17,590012,-322.17
597086,351.85,590430,-47.88
597105,390.02,590465,48.57
597427,583.41,590846,325.17
597421,578.62,590832,357.72
597908,856.31,591690,913.23
597901,849.01,591687,973.46
598478,1163.9,592862,1697.33
598484,1148.63,592898,1759.9
597879,640.47,592051,1056.78
597892,467.6,592018,768.81
597863,365.18,591987,610.7
597988,392.73,592474,847.26
598007,379.27,592502,853.88
598352,576.05,593187,1244.51
598347,573.43,593180,1232.71
598289,485.34,593132,1093.29
598275,412.79,593111,951.81
597473,-180.17,592047,119.69
597460,-322.52,592015,-120.83
597756,-131.77,592642,251.05
597757,-72.13,592627,313.07
597223,-410.51,591558,-417.4
597222,-461.44,591542,-576.24
597450,-281.72,592117,-180.39
597449,-213.53,592120,-63.77
597463,-168.93,592110,-35.83
597110,-381.1,591320,-557.62
597091,-414.94,591310,-648.22
596938,-491.36,591232,-668.72
596946,-463.6,591219,-626.09
596975,-397.99,591479,-387.51
596994,-335.13,591515,-270.63
597123,-204.17,591665,-117.46
597113,-160.82,591653,-77.17
596900,-279.75,591326,-280.67
596912,-277.87,591346,-294.56
597278,-7.55,592140,261.36
597301,76.45,592151,386.18
597293,85.63,592165,394.33
597126,-31.67,591938,210.27
597109,-69.92,591907,125.45
596757,-310.54,591317,-303.6
596761,-341.97,591321,-382.95
597055,-123.07,591928,38.06
597065,-51.01,591943,150.63
597194,58.25,592152,306.86
597202,86.12,592162,326.86
596951,-83.08,591734,16.14
596938,-127.34,591712,-77.98
596721,-273.74,591375,-321.91
596720,-288.06,591368,-360.66
596412,-474.65,590831,-701.41
596396,-492.16,590823,-733.1
596645,-287.36,591346,-327.1
596643,-213.04,591364,-185.45
596655,-168.28,591362,-135.53
596311,-374.44,590758,-518.12
596317,-390.53,590783,-553.59
596242,-412.04,590604,-636.21
596218,-398.79,590575,-622.71
596137,-416.24,590468,-638.74
596165,-366.6,590476,-583.43
596189,-307.03,590541,-476.54
596184,-269.51,590545,-406.74
596271,-178.74,590711,-243.07
596253,-152.98,590687,-197.65
596143,-207.58,590506,-291.37
596148,-200.39,590530,-274.13
596328,-60.53,590928,21.25
596336,-14.91,590947,106.44
596346,4.52,590949,120.17
596457,83.72,591140,241.99
596446,89.1,591147,256.89
596585,176.52,591439,435.42
596592,188.26,591443,446.15
596560,153.76,591376,366.09
596559,131.46,591383,319.74
596786,267.54,591740,521.46
596788,280.44,591755,538.08
596760,241.14,591669,438.96
596759,210.2,591676,381.65
596842,240.51,591774,401.06
596824,215.71,591774,372.02
596742,136.05,591568,194.66
596729,95.81,591556,125.58
596738,83.68,591546,90.96
596782,103.21,591653,146.64
596796,108.75,591654,148.83
596955,207.98,591955,339.44
596962,220.07,591960,362.0
596982,217.98,591987,355.25
596979,197.03,591976,316.13
597149,289.54,592326,515.23
597156,293.06,592321,518.3
596962,138.57,591861,165.62
596957,84.68,591873,71.21
597231,248.43,592337,353.88
597220,261.15,592329,389.56
597213,237.59,592323,361.53
597351,304.42,592580,497.0
597358,300.24,592600,502.44
597446,333.08,592711,536.1
597447,313.85,592724,508.01
597549,351.16,592897,574.49
597550,331.5,592901,545.31
597741,427.14,593250,726.84
597739,413.67,593275,727.79
597791,410.37,593333,705.57
597791,374.83,593352,653.16
597848,372.6,593411,624.52
597831,329.1,593415,567.29
597852,304.53,593383,483.43
597843,266.55,593355,402.71
597712,146.31,593074,159.31
597716,106.43,593109,108.24
597737,101.6,593117,91.69
597763,109.28,593107,73.02
597765,103.31,593106,61.48
597911,191.38,593397,249.32
597918,202.09,593394,273.37
597896,172.86,593367,238.14
597900,153.64,593377,215.88
598057,241.48,593726,426.97
598063,247.17,593728,445.26
597870,97.85,593302,125.47
597856,42.66,593276,17.07
597586,-156.59,592733,-377.11
597583,-195.4,592712,-458.3
597447,-280.17,592451,-615.68
597432,-287.87,592493,-574.86
597448,-254.73,592501,-510.69
597089,-466.51,591779,-937.47
597082,-484.98,591766,-974.17
597148,-404.19,591922,-796.11
597149,-349.08,591912,-690.85
597220,-257.99,592072,-498.41
