pc_time_ms,emg_raw,emg_clean,emg_envelope,emg_ts,ppg_red_raw,ppg_ir_raw,ppg_red,ppg_ir,ppg_ts
132,0,0.0,0.0,5407,754,676,-2.05,2.03,0
133,0,0.0,0.0,5527,757,674,0.59,1.88,0
181,0,0.0,0.0,5640,752,677,-3.66,3.89,0
433,0,0.0,0.0,5754,754,660,-2.79,-8.45,0
638,0,0.0,0.0,5867,756,669,-0.16,-1.52,0
639,0,0.0,0.0,5980,760,667,3.16,-1.58,0
843,0,0.0,0.0,6094,749,674,-5.34,2.48,0
844,0,0.0,0.0,6208,761,675,4.19,3.08,0
1048,0,0.0,0.0,6320,752,671,-2.58,-0.31,0
1253,0,0.0,0.0,6433,755,676,-0.7,1.66,0
1254,0,0.0,0.0,6551,758,672,2.09,-0.09,0
1457,0,0.0,0.0,6664,755,681,-1.08,5.83,0
1458,0,0.0,0.0,6777,757,675,0.93,2.17,0
1663,0,0.0,0.0,6890,756,664,-0.97,-5.26,0
1663,0,0.0,0.0,7003,754,668,-2.16,-0.77,0
1768,0,0.0,0.0,7116,754,671,-2.03,0.79,0
1769,0,0.0,0.0,7230,753,675,-2.57,2.96,0
2072,0,0.0,0.0,7342,754,676,-1.28,2.9,0
