ts,red_raw,ir_raw,red_f,ir_f,bpm,spo2
18594,475,424,-0.75,-0.1,0.0,97.5
18615,469,417,-0.75,-0.0,0.0,96.3
18636,471,418,-0.78,0.03,76.9,95.4
18657,469,414,-0.77,0.05,76.9,98.4
18678,470,421,-0.72,-0.04,76.5,96.7
18700,470,427,-0.6,-0.15,81.9,97.9
18723,473,425,-0.5,-0.15,86.2,95.9
18744,467,419,-0.37,-0.0,84.0,95.2
18765,477,411,-0.41,0.18,81.8,93.3
18787,472,419,-0.37,0.24,80.1,91.1
18808,482,412,-0.49,0.38,78.0,86.4
18829,474,423,-0.52,0.34,77.4,82.9
18850,477,424,-0.57,0.23,76.9,85.4
18871,471,424,-0.52,0.04,76.5,94.0
18892,475,407,-0.55,0.0,75.9,91.9
18925,469,420,-0.47,-0.22,75.7,93.4
18947,469,423,-0.34,-0.3,75.6,95.6
18968,472,421,-0.21,-0.3,75.4,95.5
18990,464,418,0.05,-0.29,75.4,90.4
19011,466,425,0.25,-0.44,75.3,92.8
19032,471,427,0.36,-0.61,76.0,97.1
19053,469,417,0.49,-0.58,75.8,90.5
19074,472,418,0.51,-0.48,75.7,88.0
19097,476,415,0.42,-0.28,70.7,86.4
19129,476,414,0.27,-0.06,66.7,90.9
19156,473,412,0.09,0.06,63.5,92.6
19179,471,409,-0.07,0.13,60.8,96.1
19200,476,414,-0.27,0.1,58.8,91.5
19222,481,420,-0.45,0.06,57.4,83.6
19244,477,411,-0.45,0.19,56.1,90.8
19265,475,410,-0.41,0.21,55.1,92.7
19286,470,414,-0.25,0.08,54.2,93.9
19314,482,423,-0.18,-0.19,58.4,97.4
19337,471,408,0.12,-0.28,56.9,93.8
19359,472,414,0.38,-0.55,55.8,93.2
19380,472,414,0.58,-0.79,59.7,92.5
19403,471,406,0.74,-0.84,57.9,87.5
19424,472,407,0.8,-0.86,56.5,88.6
19445,472,412,0.8,-0.85,55.4,88.9
19466,473,408,0.77,-0.69,54.5,89.1
19487,472,412,0.75,-0.56,53.9,90.2
19508,473,421,0.68,-0.52,58.1,96.6
19539,466,412,0.62,-0.39,63.2,93.3
19561,472,415,0.44,-0.34,67.2,94.9
19583,473,415,0.27,-0.32,68.8,97.3
19605,470,412,0.17,-0.23,65.4,94.4
19626,474,423,0.01,-0.34,67.3,97.9
19649,463,407,-0.02,-0.25,68.1,91.1
19671,470,411,-0.12,-0.2,68.8,92.0
19692,472,412,-0.18,-0.12,69.3,92.7
19714,472,414,-0.2,0.03,69.6,92.5
19746,476,406,-0.2,0.31,69.9,89.3
19768,471,407,-0.19,0.59,70.9,91.6
19790,465,409,-0.18,0.8,71.0,97.5
19812,473,412,-0.27,0.88,71.8,97.2
19839,477,403,-0.35,0.98,70.5,97.3
19862,469,406,-0.25,0.92,70.9,95.1
19884,475,404,-0.26,0.77,70.0,96.2
19905,468,401,-0.22,0.7,70.8,99.0
19936,467,413,-0.15,0.36,70.0,98.1
19959,466,405,-0.12,0.19,69.3,96.1
19980,470,398,-0.06,0.09,70.9,98.0
20002,471,401,0.03,0.01,72.1,98.3
20027,472,417,0.15,-0.29,79.9,95.3
20049,464,411,0.19,-0.42,86.1,100
20072,467,399,0.16,-0.37,91.1,97.6
20093,472,410,0.09,-0.46,95.1,98.3
20114,477,411,-0.01,-0.53,98.3,97.9
20136,471,421,-0.03,-0.66,101.7,100
20158,466,401,-0.02,-0.44,103.6,97.4
20179,469,411,-0.13,-0.39,105.1,98.3
20200,477,411,-0.28,-0.27,106.3,96.4
20222,465,410,-0.21,-0.08,98.4,98.0
20243,469,412,-0.18,0.08,100.9,97.8
20264,473,419,-0.13,0.15,103.0,98.2
20285,471,413,-0.04,0.35,104.6,96.7
20306,470,402,0.02,0.77,103.9,100
20327,464,400,0.16,0.94,99.8,100
20353,465,401,0.22,0.98,96.3,100
20375,478,410,0.2,0.93,93.7,99.3
20397,475,404,0.17,0.95,97.2,97.6
20419,455,405,0.33,0.96,100.0,95.4
