ecg_ts,ecg,bpm,leadOff
30757,4095,0,0
30764,175,0,0
30770,4095,0,0
30777,4095,0,0
30786,0,0,1
30792,4095,0,0
30798,4095,0,0
30804,0,0,0
30816,4095,0,0
30823,0,0,1
30848,0,0,1
30855,4095,0,0
30865,0,0,1
30872,4095,0,0
30883,223,0,0
30890,4095,0,0
30896,4095,0,0
30902,343,0,0
30913,4095,0,0
30922,33,0,0
30930,4095,0,0
30937,4095,0,0
30943,407,0,0
30949,0,0,1
30955,4095,0,0
30961,4095,0,0
30977,4095,0,0
30985,0,0,1
30992,4095,0,0
30998,4095,0,0
31004,0,0,1
31010,4095,0,0
31016,4095,0,0
31022,496,0,0
31033,4095,113,0
31040,4095,113,0
31046,0,0,1
31052,4095,0,0
31058,4095,0,0
31064,0,0,1
31070,4095,0,0
31081,4095,0,0
31088,0,0,1
31095,4095,0,0
31101,4095,0,0
31106,0,0,1
31113,4095,0,0
31119,4095,0,0
31132,4095,0,0
31139,4095,0,0
31145,0,0,1
31151,4095,0,0
31157,4095,0,0
31163,858,0,0
31174,4095,0,0
31183,0,0,1
31190,0,0,1
31197,4095,0,0
31203,751,0,0
31208,0,0,1
31215,4095,0,0
31221,4095,0,0
31233,4095,0,0
31241,4095,0,0
31246,0,0,1
31253,4095,0,0
31259,4095,0,0
31265,0,0,0
31271,4095,0,0
31277,4095,0,0
31293,4095,0,0
31300,4095,0,0
31305,0,0,1
31312,4095,0,0
31318,4095,0,0
31324,0,0,0
31330,0,0,1
31342,492,0,0
31350,4095,0,0
31356,4095,0,0
31362,1136,0,0
31367,0,0,1
31374,4095,0,0
31380,4095,0,0
31386,0,0,1
31402,4095,0,0
31408,0,0,1
31415,4095,0,0
31421,4095,0,0
31426,0,0,1
31433,4095,0,0
31439,4095,0,0
31453,4095,0,0
31461,1312,0,0
31466,0,0,0
31473,4095,0,0
31479,4095,0,0
31485,0,0,0
31491,0,0,1
31502,4095,0,0
31510,0,0,1
31516,4095,0,0
31522,1229,0,0
31527,0,0,1
31534,4095,114,0
31540,4095,114,0
31546,0,0,1
31559,4095,0,0
31566,0,0,1
31572,4095,0,0
31578,4095,0,0
31584,0,0,0
31590,4095,0,0
31599,4095,0,0
31610,0,0,1
31617,4095,0,0
31624,0,0,0
31630,0,0,1
31636,4095,0,0
31642,1455,0,0
31647,0,0,1
31660,4095,0,0
31667,0,0,1
31673,4095,0,0
31679,4095,0,0
31686,0,0,1
31693,4095,0,0
31699,4095,0,0
31708,0,0,1
31723,4095,0,0
31778,4095,0,0
31785,0,0,1
31791,0,0,1
31797,4095,0,0
31804,1955,0,0
31811,0,0,1
31817,4095,0,0
31827,0,0,1
31834,4095,0,0
31840,4095,0,0
31846,0,0,1
31852,4095,0,0
31858,4095,0,0
31864,0,0,0
31876,4095,0,0
31883,1955,0,0
31888,0,0,1
31895,4095,0,0
31901,4095,0,0
31907,0,0,1
31914,4095,0,0
31929,0,0,1
31936,4095,0,0
31943,1856,0,0
31948,0,0,1
31955,4095,0,0
31961,4095,0,0
31966,0,0,1
31973,4095,0,0
31986,0,0,0
31993,4095,0,0
31999,4095,0,0
32009,0,0,1
32016,4095,0,0
32022,2006,0,0
32034,4095,0,0
32042,2033,0,0
32047,0,0,1
32054,4095,116,0
32060,4095,116,0
32066,0,0,1
32072,4095,0,0
32083,2032,0,0
32090,0,0,1
32096,4095,0,0
32102,1911,0,0
32112,0,0,1
32119,4095,0,0
32125,0,0,1
32136,4095,0,0
32143,2103,0,0
32148,0,0,1
32155,4095,0,0
32161,4095,0,0
32166,0,0,1
32173,4095,0,0
32179,4095,0,0
32191,0,0,1
32198,4095,0,0
32205,0,0,0
32213,4095,0,0
32220,4095,0,0
32226,0,0,1
32232,4095,0,0
32243,2303,0,0
32249,0,0,1
32256,4095,0,0
32262,2437,0,0
32267,0,0,1
32274,4095,0,0
32280,4095,0,0
32292,0,0,1
32299,4095,0,0
32305,0,0,0
32312,4095,0,0
32321,2150,0,0
32327,0,0,1
32334,4095,0,0
32347,0,0,1
32354,4095,0,0
32360,4095,0,0
32366,0,0,1
32372,4095,0,0
32378,0,0,1
32384,2519,0,0
32391,0,0,0
32404,0,0,0
32535,4095,0,0
32542,2581,0,0
32547,0,0,1
32554,4095,0,0
32560,4095,0,0
32566,0,0,1
32572,4095,116,0
32585,2829,116,0
32592,4095,0,0
32598,4095,0,0
32604,2822,0,0
32609,0,0,1
32616,4095,0,0
32623,2858,0,0
32637,4095,0,0
32644,0,0,0
32650,0,0,1
32656,4095,0,0
32662,4095,0,0
32667,0,0,1
32674,4095,0,0
32686,0,0,1
32693,4095,0,0
32699,4095,0,0
32705,0,0,0
32711,0,0,1
32717,4095,0,0
32724,0,0,0
32738,4095,0,0
32745,0,0,1
32751,0,0,1
32757,4095,0,0
32763,2919,0,0
32768,0,0,1
32775,4095,0,0
32781,4095,0,0
32794,4095,0,0
32801,4095,0,0
32807,0,0,1
32813,4095,0,0
32819,4095,0,0
32826,0,0,1
32833,4095,0,0
32847,0,0,1
32855,4095,0,0
32862,2999,0,0
32867,0,0,1
32874,4095,0,0
32880,4095,0,0
32886,0,0,1
32892,4095,0,0
32906,0,0,1
32913,4095,0,0
32919,4095,0,0
32925,0,0,0
32934,4095,0,0
32941,4095,0,0
32947,0,0,1
32960,4095,0,0
32967,0,0,1
