red_raw,red_final (Filtered),ir_raw,ir_final (Filtered)
591886,-4463.39,580778,-6498.61
591463,-5082.64,580119,-7484.56
588384,-6881.29,305843,-191728.83
587694,-7215.93,305127,-222259.03
578034,-13192.97,298859,-215365.12
578595,-13201.05,299309,-195137.89
593001,-2390.46,315667,-162564.3
592928,475.82,316076,-140379.64
596491,3553.47,324501,-117280.78
596590,4092.48,324632,-101486.98
596682,3943.95,324751,-88869.06
596359,3356.07,324643,-78267.05
596347,2916.86,324634,-69000.06
596031,2347.5,324349,-61036.77
595993,1980.75,324309,-53908.57
594104,449.76,321578,-49403.58
593970,-62.74,321298,-44287.73
590713,-2378.56,312035,-45497.63
590695,-2770.97,312125,-41897.11
592489,-1427.73,319000,-32826.04
592521,-948.36,319091,-27714.8
594554,620.6,322441,-21835.52
594605,996.24,322522,-18460.63
594669,1049.48,322612,-15993.4
595528,1552.41,323901,-13155.32
595536,1552.86,323932,-11310.74
596368,1981.89,325085,-9116.07
596392,1938.25,325109,-7778.96
596682,1958.8,325461,-6549.23
596677,1795.11,325473,-5679.22
596803,1687.22,325668,-4849.79
596798,1514.18,325688,-4218.46
596824,1360.38,325730,-3675.34
596822,1205.5,325736,-3224.47
596759,1022.35,325664,-2887.39
596761,891.41,325648,-2569.63
596776,793.29,325706,-2233.74
596780,704.39,325697,-1966.77
596787,627.24,325739,-1705.32
596781,550.85,325729,-1502.38
596789,490.55,325737,-1319.1
596794,437.33,325753,-1150.91
596788,383.0,325714,-1037.72
596792,339.72,325779,-877.89
596782,293.38,325777,-764.95
596586,125.08,325494,-862.5
596584,70.88,325487,-818.81
596594,58.05,325464,-754.18
596594,49.87,325455,-680.29
596510,-12.89,325341,-681.01
596503,-32.3,325339,-624.99
596493,-41.19,325306,-580.35
596487,-43.98,325300,-524.17
596450,-65.81,325271,-485.31
596455,-62.42,325271,-434.56
596454,-56.93,325260,-392.5
596473,-37.98,325291,-327.93
596470,-32.05,325285,-288.06
596469,-28.55,325307,-238.91
596474,-21.86,325320,-197.63
596456,-30.45,325303,-182.02
596450,-34.07,325288,-172.83
596357,-94.7,325161,-241.39
596343,-111.31,325155,-242.26
596243,-173.35,325044,-296.72
596241,-175.65,325030,-294.77
596165,-212.55,324910,-350.14
