ecg_ts,ecg,bpm,leadOff
326614,1362,69,0
326630,1474,69,0
326645,1670,69,0
326659,1776,69,0
326675,1738,69,0
326690,1702,69,0
326704,1248,69,0
326725,1257,69,0
326741,1375,69,0
326755,1725,69,0
326769,2061,69,0
326784,2158,69,0
326799,2242,69,0
326813,1873,69,0
326829,2100,69,0
326846,2171,69,0
326861,2270,69,0
326875,1855,69,0
326889,1665,69,0
326910,1503,69,0
326925,1809,69,0
326940,1833,69,0
326955,1948,69,0
326970,1984,69,0
326984,2583,69,0
326998,4095,68,0
327012,4095,68,0
327028,1183,68,0
327043,1679,68,0
327057,1524,68,0
327078,1150,68,0
327093,1478,68,0
327107,1926,68,0
327127,1808,68,0
327143,1990,68,0
327157,2322,68,0
327171,2102,68,0
327186,2320,68,0
327201,2377,68,0
327215,2224,68,0
327230,1840,68,0
327254,1855,68,0
327269,2181,68,0
327283,2060,68,0
327299,1856,68,0
327314,1873,68,0
327332,1531,68,0
327347,1409,68,0
327362,1663,68,0
327377,1520,68,0
327391,1435,68,0
327405,1664,68,0
327419,1697,68,0
327435,1630,68,0
327450,1330,68,0
327464,1169,68,0
327488,1382,68,0
327503,1631,68,0
327517,1424,68,0
327532,1675,68,0
327550,1934,68,0
327565,1994,68,0
327579,1791,68,0
327596,1706,68,0
327611,2066,68,0
327625,1687,68,0
327641,1456,68,0
327664,1423,68,0
327678,1782,68,0
327692,2098,68,0
327707,2385,68,0
327722,2158,68,0
327736,2181,68,0
327750,2230,68,0
327766,1958,68,0
327781,1531,68,0
327796,1289,68,0
327810,1535,68,0
327831,1370,68,0
327846,1650,68,0
327861,1910,68,0
327881,1877,68,0
327896,3315,67,0
327910,4095,67,0
327932,1367,67,0
327948,1767,67,0
327963,1899,67,0
327977,1742,67,0
327992,1681,67,0
328007,1869,67,0
328022,1937,67,0
328036,2112,67,0
328053,1941,67,0
328068,1899,67,0
328082,1628,67,0
328096,1338,67,0
328120,1511,67,0
328136,2126,67,0
328151,2283,67,0
328167,2306,67,0
328182,2387,67,0
328196,1661,67,0
328210,1488,67,0
328231,1118,67,0
328255,1053,67,0
328271,1270,67,0
328287,1584,67,0
328302,1678,67,0
328316,1731,67,0
328331,1746,67,0
328346,2030,67,0
328361,1888,67,0
328376,1723,67,0
328391,1872,67,0
328406,1755,67,0
328420,2087,67,0
328434,1902,67,0
328449,1933,67,0
328467,1870,67,0
328482,1581,67,0
328496,1506,67,0
328521,1182,67,0
328536,1281,67,0
328550,1675,67,0
328565,2018,67,0
328581,1688,67,0
328596,976,67,0
328610,938,67,0
328631,1232,67,0
328667,1868,67,0
328683,2140,67,0
328698,2069,67,0
328712,1701,67,0
328728,2129,67,0
328743,2400,67,0
328759,2448,67,0
328777,1709,67,0
328793,1615,67,0
328808,1949,67,0
328826,1995,67,0
328843,1753,67,0
328858,2330,67,0
328874,2891,67,0
328890,4095,66,0
328905,4095,66,0
328920,1077,66,0
328934,1627,66,0
328949,1639,66,0
328964,1744,66,0
328980,1382,66,0
328996,1968,66,0
329011,2110,66,0
329025,1850,66,0
329039,2274,66,0
329054,2197,66,0
329073,1534,66,0
329094,1792,66,0
329110,2187,66,0
329125,2288,66,0
329139,2166,66,0
329154,2451,66,0
329170,2142,66,0
329185,1662,66,0
329199,1222,66,0
329221,706,66,0
329236,1046,66,0
329256,1314,66,0
329271,1425,66,0
329286,1506,66,0
329301,1429,66,0
329315,1651,66,0
329330,1635,66,0
329344,1337,66,0
329358,1111,66,0
329380,1111,66,0
329395,1637,66,0
