red_raw,red_final (Filtered),ir_raw,ir_final (Filtered)
594807,-221.98,589892,-354.35
594824,-210.09,589892,-357.9
594855,-168.47,589946,-292.25
594857,-142.46,589949,-249.02
594839,-136.0,589961,-209.06
594857,-110.75,589959,-182.73
594853,-97.79,589961,-159.32
594877,-70.12,589979,-127.83
594870,-61.96,589983,-106.46
594886,-43.88,590009,-74.58
594882,-38.33,590002,-65.0
594915,-11.46,590053,-22.73
594910,-7.08,590053,-10.25
594948,20.19,590129,44.92
594950,26.68,590139,61.7
595003,61.7,590258,140.83
595016,74.04,590265,153.46
595060,100.52,590376,218.45
