pc_time_ms,emg_raw,emg_clean,emg_envelope,emg_ts,ppg_red_raw,ppg_ir_raw,ppg_red,ppg_ir,ppg_ts
133,0,0.0,0.0,195272,741,666,-0.08,1.4,0
133,0,0.0,0.0,195385,740,665,-1.16,1.62,0
336,0,0.0,0.0,195497,739,671,-2.6,5.75,0
391,0,0.0,0.0,195617,737,664,-2.95,-1.24,0
542,0,0.0,0.0,195731,739,660,-0.94,-2.99,0
590,0,0.0,0.0,195845,744,658,1.37,-4.86,0
696,0,0.0,0.0,195959,744,669,2.1,3.26,0
955,0,0.0,0.0,196077,744,667,2.41,1.17,0
956,0,0.0,0.0,196190,746,663,2.13,-0.98,0
1040,0,0.0,0.0,196302,734,661,-6.33,-1.13,0
1158,0,0.0,0.0,196418,738,668,-1.74,3.08,0
1276,0,0.0,0.0,196538,737,666,-3.13,1.88,0
1460,0,0.0,0.0,196657,735,654,-4.04,-6.72,0
1571,0,0.0,0.0,196776,741,666,0.43,1.76,0
1773,0,0.0,0.0,196890,741,667,0.43,2.58,0
1774,0,0.0,0.0,197004,745,659,2.09,-3.37,0
2074,0,0.0,0.0,197117,744,664,1.47,0.43,0
2075,0,0.0,0.0,197231,739,667,-1.61,3.41,0
