ts,red_raw,ir_raw
82320,1155154,1423482
82341,1155055,1423207
82357,1155058,1423221
82371,1155049,1423216
82387,1155055,1423222
82401,1155049,1423236
82416,1155010,1423231
82429,1155054,1423247
82443,1155073,1423195
82457,1155089,1423242
82474,1155065,1423249
82491,1155060,1423251
82506,1155070,1423254
82519,1155050,1423203
82533,1155020,1423194
82548,1155062,1423176
82562,1155045,1423153
82578,1155046,1423158
82592,1155026,1423152
82606,1155043,1423164
82620,1155034,1423178
82635,1155052,1423189
82648,1155065,1423177
82671,1155047,1423215
82688,1155075,1423211
82702,1155069,1423183
82718,1155040,1423227
82733,1155105,1423322
82748,1155116,1423312
82761,1155129,1423342
82777,1155144,1423316
82792,1155106,1423342
82806,1155128,1423343
82820,1155151,1423433
82834,1155110,1423443
82856,1155145,1423421
82872,1155165,1423443
82887,1155152,1423446
82902,1155141,1423452
82917,1155114,1423431
82932,1155197,1423555
82945,1155183,1423587
82960,1155230,1423584
82975,1155202,1423572
82990,1155218,1423601
83004,1155206,1423593
83026,1155290,1423589
83079,1155237,1423693
83094,1155212,1423646
83109,1155219,1423628
83124,1154978,1422999
83139,1154974,1422903
83152,1154940,1422881
83166,1154940,1422850
83181,1154911,1422845
83196,1154904,1422866
83211,1154875,1422793
83224,1154886,1422743
83245,1154864,1422690
83260,1154887,1422745
83275,1154873,1422740
83290,1154881,1422732
83305,1154877,1422761
83319,1154825,1422588
83335,1154851,1422622
83348,1154847,1422647
83362,1154857,1422665
83377,1154832,1422672
83392,1154817,1422641
83407,1154833,1422637
83428,1154868,1422668
83620,1154961,1422959
83635,1154929,1422952
83648,1154968,1422954
83664,1154983,1422981
83679,1154990,1423000
83693,1154978,1422984
83709,1154988,1423014
83724,1155106,1423324
83737,1155075,1423329
83751,1155128,1423336
83765,1155152,1423367
83787,1155119,1423350
83802,1155013,1423123
83817,1155192,1423586
83831,1155188,1423566
83846,1155175,1423585
83860,1155195,1423565
83875,1155209,1423602
83888,1155200,1423541
83906,1155235,1423661
83921,1155248,1423664
83934,1155211,1423676
83949,1155218,1423677
83967,1155231,1423658
84000,1155194,1423693
84015,1155137,1423410
84030,1155122,1423390
84044,1155080,1423339
84059,1155087,1423312
84073,1155072,1423277
84087,1155058,1423238
84102,1155023,1423209
84117,1154900,1422844
84132,1154894,1422866
84153,1154913,1422875
84440,1155113,1423395
84454,1155143,1423386
84468,1155104,1423436
84486,1155164,1423447
84501,1155136,1423497
84518,1155622,1424841
84533,1155680,1424912
84547,1155676,1424936
84563,1155676,1424994
84576,1155708,1425026
84590,1155727,1425075
84605,1155734,1425097
84623,1156122,1426241
84646,1156127,1426287
84660,1156171,1426369
84674,1156122,1426369
84691,1156157,1426382
84709,1156463,1427242
84724,1156456,1427301
84739,1156478,1427305
84755,1156453,1427332
84769,1156469,1427340
84783,1156466,1427395
84797,1156492,1427388
84811,1156574,1427686
84828,1156592,1427680
84849,1156601,1427678
84863,1156567,1427704
84878,1156580,1427708
84893,1156597,1427718
84909,1156643,1427896
84923,1156621,1427881
84940,1156585,1427891
84955,1156609,1427888
84969,1156594,1427913
84983,1156560,1427785
84997,1156630,1427893
85017,1156446,1427540
85035,1156470,1427512
85051,1156433,1427461
85065,1156419,1427386
85079,1156385,1427386
85093,1156613,1427927
85108,1156196,1426907
85122,1156192,1426891
85140,1156188,1426920
85154,1156195,1426900
85168,1156179,1426905
85182,1156196,1426927
85203,1156159,1426849
85218,1156182,1426909
85234,1156172,1426857
85249,1156156,1426844
85265,1156156,1426845
85278,1156136,1426845
85292,1156147,1426861
85308,1156174,1426876
85323,1156182,1426890
85340,1156159,1426840
85362,1156146,1426870
85377,1156153,1426856
85391,1156141,1426843
