ts,red_raw,ir_raw
18304,867943,874462
18325,867930,874445
18340,867979,874483
18354,867947,874484
18372,867948,874494
18390,867986,874625
18405,868014,874676
18419,868000,874677
18437,867991,874668
18452,868024,874705
18466,868000,874680
18487,868014,874698
18503,868029,874775
18517,868031,874825
18531,868038,874798
18545,868065,874780
18561,868056,874793
18575,868075,874790
18593,868050,874789
18608,868060,874883
18623,868086,874891
18637,868102,874899
18651,868080,874909
18672,868071,874884
18687,868066,874911
18703,868092,875015
18717,868109,874995
18733,868136,874985
18747,868093,874981
18763,868110,874954
18778,868113,874998
18793,867855,874381
18812,867825,874382
18828,867792,874321
18843,867798,874285
18857,867798,874242
18871,867778,874237
18888,867805,874202
18903,867689,874104
18918,867728,874152
18933,867740,874156
18947,867726,874125
18965,867738,874178
18983,867739,874173
18998,1147591,1156478
19013,1147578,1156434
19028,1147567,1156427
19043,1147583,1156456
19057,1147566,1156447
19071,1147553,1156406
19096,1147548,1156438
19112,1147567,1156438
19127,1147566,1156402
19141,1147543,1156373
19156,1147547,1156411
19170,1147545,1156419
19184,1147529,1156464
19210,1147557,1156463
19225,1147569,1156462
19239,1147550,1156469
19260,1147587,1156499
19275,1147567,1156511
19289,1147630,1156719
19305,1147657,1156694
19321,1147653,1156742
19336,1147661,1156728
19350,1147644,1156715
19364,1147656,1156744
19379,1147661,1156701
19394,1147715,1156920
19410,1147715,1156910
19431,1147722,1156926
19446,1147736,1156873
19460,1147739,1156944
19475,1147724,1156920
19491,1147714,1157049
19505,1147774,1157054
19520,1147772,1157049
19534,1147748,1157040
19549,1147754,1157045
19563,1147751,1157055
19577,1147797,1157081
19598,1147805,1157217
19613,1147781,1157179
19628,1147776,1157193
19642,1147808,1157219
19665,1147807,1157224
19680,1147535,1156547
19694,1147515,1156520
19714,1147489,1156447
19729,1147472,1156399
19743,1147453,1156318
19757,1147435,1156329
19778,1147356,1156106
19793,1147399,1156117
19815,1147357,1156139
19831,1147379,1156154
19846,1147377,1156177
19860,1147366,1156223
19875,1147437,1156199
19890,1147462,1156409
19905,1147445,1156406
19920,1147467,1156421
19938,1147384,1156409
19953,1147452,1156404
19967,1147460,1156458
19981,1147447,1156379
20002,1147446,1156384
20017,1147434,1156349
20032,1147424,1156353
20047,1147420,1156345
20062,1147422,1156330
20076,1147435,1156419
20095,1147443,1156422
20111,1147479,1156454
20127,1147431,1156429
20144,1147459,1156445
20160,1147450,1156466
20174,1147445,1156455
20188,1147539,1156677
20203,1147554,1156676
20220,1147539,1156691
20235,1147575,1156678
20250,1147540,1156731
20265,1147592,1156727
20279,1147612,1156857
20293,1147626,1156913
20308,1147634,1156938
20324,1147619,1156926
20339,1147631,1156944
20353,1147606,1156931
20378,1147645,1157041
20393,1147664,1157041
20413,1147665,1157073
20428,1147663,1157037
20443,1147683,1157057
20462,1147661,1157049
20478,1147716,1157019
20492,1147740,1157166
20506,1147723,1157203
20521,1147726,1157184
20536,1147727,1157223
20551,1147704,1157216
20565,1147747,1157212
20587,1147395,1156395
20602,1147406,1156383
20616,1147419,1156295
20631,1147385,1156281
20647,1147352,1156278
20662,1147337,1156171
20676,1147304,1156177
20690,1147323,1156176
20711,1147337,1156204
20736,1147339,1156233
20751,1147359,1156237
20766,1147457,1156496
20781,1147477,1156553
20795,1147484,1156535
20809,1147450,1156549
20823,1147463,1156576
20838,1147452,1156604
20854,1147436,1156585
20869,1147473,1156567
20892,1147380,1156404
20907,1147416,1156392
20921,1147383,1156377
20939,1147402,1156376
20954,1147382,1156375
20968,1147376,1156363
20982,1147413,1156512
20997,1147436,1156523
21012,1147464,1156527
21026,1147396,1156541
21046,1147437,1156547
21062,1147437,1156553
21077,1147520,1156742
21092,1147480,1156784
21106,1147535,1156803
21121,1147550,1156801
21135,1147541,1156796
21151,1147544,1156828
21167,1147561,1156813
21181,1147585,1156916
21196,1147614,1156948
21211,1147575,1156893
21225,1147572,1156909
21239,1147566,1156909
21254,1147577,1156919
21269,1147579,1156936
21283,1147652,1157032
21298,1147611,1157026
21318,1147618,1157046
21334,1147616,1157080
21350,1147605,1157047
21366,1147381,1156407
21381,1147342,1156407
21395,1147362,1156339
21409,1147325,1156290
21424,1147325,1156252
21439,1147303,1156251
21457,1147256,1156202
21472,1147219,1156077
21486,1147225,1156107
21505,1147259,1156102
21521,1147279,1156115
21535,1147257,1156150
21553,1147249,1156173
21569,1147381,1156477
21584,1147361,1156483
21598,1147356,1156520
21612,1147360,1156523
21627,1147386,1156545
21641,1147375,1156561
21664,1147323,1156365
21680,1147317,1156369
21694,1147302,1156379
21708,1147364,1156354
21722,1147277,1156370
21737,1147290,1156343
21758,1147296,1156402
21780,1147353,1156442
21795,1147335,1156429
21809,1147348,1156451
21823,1147371,1156456
21839,1147334,1156467
21854,1147328,1156473
21881,1147453,1156715
21896,1147448,1156725
21910,1147407,1156749
21924,1147445,1156753
21939,1147449,1156769
21954,1147453,1156754
21970,1147490,1156848
21985,1147472,1156835
22000,1147483,1156810
22018,1147451,1156871
22033,1147454,1156856
22047,1147478,1156852
22068,1147476,1156975
22084,1147502,1156989
22098,1147516,1157005
22112,1147513,1157008
22126,1147523,1156992
22141,1147564,1156988
22155,1147511,1156992
22173,1147094,1155917
22189,1147032,1155879
22203,1147113,1155872
22217,1147070,1155803
22231,1147055,1155815
22247,1147022,1155772
22261,1147090,1155966
22277,1147079,1155950
22292,1147109,1155995
22306,1147112,1155975
22320,1147082,1155995
22335,1147132,1156010
22351,1147179,1156161
22365,1147179,1156163
22380,1147147,1156168
22395,1147162,1156164
22410,1147181,1156180
22424,1147185,1156202
22438,1147180,1156183
22459,1147092,1155996
22474,1147101,1155998
22490,1147101,1155990
22505,1147086,1156005
22521,1147109,1155991
22535,1147064,1155972
22550,1147173,1156083
22565,1147113,1156146
22581,1147180,1156160
22597,1147140,1156147
22611,1147184,1156147
22634,1147193,1156182
22649,1147172,1156175
22663,1147207,1156373
22678,1147221,1156366
22693,1147244,1156370
22707,1147225,1156379
22722,1147230,1156362
22737,1147241,1156388
22751,1147223,1156425
22765,1147265,1156477
22781,1147261,1156492
22796,1147215,1156489
22810,1147277,1156500
22824,1147262,1156486
22850,1147300,1156638
22865,1147335,1156589
22879,1147309,1156616
22895,1147337,1156625
22911,1147277,1156615
22925,1147317,1156615
22941,1147326,1156596
22956,1146858,1155472
22971,1146831,1155459
22993,1146792,1155416
23009,1146827,1155408
23024,1146823,1155401
23039,1146826,1155402
23054,1146901,1155636
23071,1146896,1155627
23087,1146893,1155638
23108,1146949,1155694
23124,1146926,1155684
23138,1146905,1155667
23152,1146921,1155724
23166,1146908,1155632
23183,1146945,1155731
23199,1146933,1155747
23214,1146872,1155753
