red_raw,red_final (Filtered),ir_raw,ir_final (Filtered)
9234,1414.39,8395,1075.83
9466,1440.2,8554,1084.09
9461,1321.64,8556,995.92
9355,1108.88,8475,835.13
9361,965.84,8486,731.63
9861,1184.92,8844,884.83
9865,1142.5,8860,859.3
9801,992.25,8810,746.64
9795,866.67,8807,653.27
9035,250.34,8235,189.6
9009,56.99,8216,44.42
8256,-503.23,7623,-394.96
8243,-610.09,7625,-470.53
7967,-771.16,7387,-609.96
7958,-752.5,7400,-584.67
7971,-675.49,7392,-534.32
8069,-533.13,7437,-446.25
8058,-459.76,7455,-374.33
8116,-363.47,7479,-308.5
8123,-303.88,7490,-258.51
8215,-201.32,7575,-166.9
8214,-159.24,7572,-131.83
8030,-259.09,7446,-196.71
8033,-260.24,7449,-194.35
8114,-184.02,7531,-122.15
8131,-137.9,7545,-84.28
8578,186.22,7909,177.37
8640,293.58,7975,272.49
8760,376.5,8056,327.87
12941,3179.95,11218,2442.58
13310,3863.37,11520,2970.31
315725,207279.41,43871,24628.94
315975,240994.33,44146,28169.74
320995,232476.94,311554,206684.61
320933,210657.81,311472,233976.09
318186,185535.8,308449,219025.14
318114,163507.73,308391,196730.27
317730,143907.17,308036,174275.62
317703,126812.05,308012,153900.61
317324,111553.04,307652,135542.73
317331,98303.76,307665,119493.07
318099,87190.55,308501,105932.66
318149,77068.97,308562,93620.92
320168,69376.8,310813,84136.88
320204,61609.39,310873,74688.95
320257,54490.71,310922,66040.81
322667,49722.86,313761,60202.09
322711,44355.18,313820,53690.45
323625,39876.04,315119,48394.72
323672,35414.73,315177,43016.16
324178,31643.74,315967,38563.93
324184,28028.0,315964,34186.54
323971,24609.26,315719,30034.85
323957,21662.74,315705,26446.04
323643,18881.75,315259,23010.87
323627,16577.82,315234,20187.85
323012,14185.07,314406,17216.44
323020,12391.53,314414,15021.58
323002,10882.41,314409,13198.28
323026,9600.43,314423,11635.06
323036,8474.36,314431,10265.18
323050,7485.22,314454,9069.61
323037,6595.83,314437,7991.87
322931,5744.04,314294,6949.97
322925,5040.95,314290,6098.61
322783,4343.02,314081,5229.04
322774,3794.91,314075,4565.02
322571,3200.07,313781,3814.79
322568,2778.41,313767,3294.76
322247,2221.79,313362,2613.27
322236,1886.98,313347,2211.33
322033,1506.85,313075,1740.55
322009,1268.0,313067,1469.97
321819,973.03,312834,1121.0
321820,817.47,312819,928.61
321807,700.62,312805,792.47
321401,338.8,312298,350.04
321402,220.03,312308,216.17
321486,228.17,312433,248.45
321503,222.37,312431,234.19
321373,114.61,312281,109.86
321359,68.47,312268,60.62
321384,67.93,312303,66.71
321381,60.04,312290,53.85
321333,20.67,312227,3.67
321335,10.41,312228,-8.59
321288,-24.71,312192,-35.17
321286,-32.79,312192,-38.87
321266,-45.51,312175,-47.96
321200,-89.27,312096,-99.37
321179,-106.87,312083,-112.64
321057,-184.37,311944,-200.02
321055,-189.58,311935,-211.13
321037,-187.0,311935,-196.08
321052,-160.44,311937,-174.41
321089,-115.31,312006,-107.78
321084,-97.62,311997,-88.02
321068,-95.69,311989,-81.0
321064,-89.84,311976,-81.15
320906,-187.15,311787,-201.55
320907,-195.06,311800,-205.97
320940,-158.37,311836,-165.45
320934,-139.8,311831,-144.66
320774,-231.08,311641,-255.13
320766,-239.84,311637,-263.99
320765,-222.45,311620,-255.33
320761,-201.97,311625,-228.24
320750,-187.18,311613,-210.24
320621,-254.49,311462,-289.63
320627,-245.86,311464,-283.71
320373,-393.91,311184,-446.76
320384,-390.38,311192,-444.53
320418,-333.65,311222,-386.25
320419,-290.54,311228,-334.92
320483,-212.1,311305,-241.95
320476,-179.2,311292,-206.92
320424,-190.79,311243,-213.64
320425,-176.9,311237,-201.31
320214,-300.49,310994,-344.79
320203,-313.57,310998,-348.98
320203,-290.36,310988,-327.3
320102,-328.0,310865,-376.97
320101,-310.37,310865,-357.61
319923,-399.58,310629,-481.39
319914,-394.26,310634,-468.43
319974,-319.23,310712,-373.11
319979,-270.05,310700,-325.72
319947,-256.42,310682,-298.44
319958,-223.93,310695,-257.64
319922,-221.09,310648,-257.27
319925,-199.69,310647,-236.12
319939,-168.01,310676,-191.33
319948,-139.81,310671,-167.3
320067,-40.81,310818,-48.19
320061,-16.57,310816,-15.55
320083,5.73,310826,0.7
320016,-34.27,310763,-37.68
320016,-41.4,310760,-46.16
319773,-203.26,310494,-223.42
319774,-226.04,310493,-249.73
319709,-256.42,310384,-308.6
319707,-243.74,310383,-297.96
319952,-55.06,310650,-90.39
319948,-5.75,310657,-25.93
320200,176.77,310941,183.61
320220,221.07,310945,223.37
320639,495.57,311458,559.83
320670,543.5,311488,617.15
321003,733.77,311918,868.86
321028,736.35,311911,853.94
321012,664.05,311914,780.06
320989,574.31,311901,686.85
320990,503.93,311901,605.44
320861,356.84,311760,438.93
320860,289.11,311763,362.08
320652,107.68,311525,151.99
320652,53.03,311533,91.8
320680,53.68,311540,73.65
320667,40.55,311535,59.52
320518,-66.46,311340,-80.33
320513,-91.08,311336,-111.35
320473,-116.48,311283,-145.4
320471,-114.38,311280,-143.67
320465,-108.22,311281,-130.45
320216,-265.14,310959,-332.84
320198,-294.26,310963,-352.86
319911,-469.91,310614,-563.02
319894,-485.71,310608,-572.21
319795,-515.31,310509,-592.82
319797,-477.86,310495,-557.32
319604,-558.01,310272,-651.45
319592,-539.06,310258,-629.49
319265,-708.88,309883,-823.2
319265,-691.64,309878,-805.63
319015,-797.16,309594,-924.35
319013,-757.66,309580,-885.47
319013,-683.76,309545,-824.49
318993,-620.9,309527,-751.64
318990,-554.7,309519,-675.24
318868,-573.36,309366,-701.99
318852,-540.38,309361,-652.78
318540,-696.46,308995,-831.66
318524,-687.58,308975,-819.76
317689,-1189.35,307263,-1899.93
317668,-1228.94,307176,-2069.14
307430,-8026.79,296393,-9195.39
307028,-9325.57,296040,-10444.89
26648,-197601.73,20907,-195082.09
26180,-228480.88,20598,-225153.69
21471,-220099.47,17265,-215924.41
21467,-199404.55,17249,-195377.45
21080,-177625.03,16852,-173982.02
21040,-157179.62,16813,-153940.09
19699,-139672.06,15768,-136608.23
19660,-123504.49,15721,-120748.98
19606,-109049.18,15686,-106591.05
17645,-97528.52,14300,-94965.63
17602,-86426.62,14283,-84036.45
16429,-77128.38,13401,-74787.58
16357,-68327.21,13345,-66185.79
14596,-61531.29,11953,-59372.42
14578,-54639.5,11935,-52658.63
13804,-48814.76,11234,-46996.77
13787,-43240.34,11220,-41614.8
12518,-39042.47,9434,-37950.58
12371,-34789.47,9266,-33937.9
4304,-36213.28,3002,-34280.28
