red_raw,red_final (Filtered),ir_raw,ir_final (Filtered)
596837,13168.13,318867,2293.12
300744,-187602.8,27342,-194655.83
300929,-222023.27,27472,-227558.16
301071,-211810.83,27568,-216528.03
295762,-194927.59,24261,-197693.41
295496,-174401.58,24093,-176377.97
24951,-336633.75,18243,-160065.41
23954,-349586.59,17512,-142940.78
30579,-318845.25,23805,-122330.8
31807,-283366.66,24790,-106160.19
596555,129637.66,592017,288696.25
596600,222380.5,592090,363465.59
595267,225975.08,589919,350065.94
595198,207740.59,589835,317072.72
594331,185030.28,588693,281236.56
594325,163694.72,588671,248468.17
594383,144549.69,588732,219293.88
594385,127534.13,588745,193454.08
594398,112497.97,588763,170637.47
594537,99313.66,588877,150571.86
594517,87600.95,588866,132807.72
594435,77205.38,588710,117024.42
594426,68067.77,588712,103178.03
594377,59990.94,588623,90926.17
594387,52902.36,588630,80174.28
594516,46740.8,588759,70789.31
594516,41245.57,588763,62456.14
594585,36428.35,588844,55142.77
594577,32136.38,588839,48645.3
594486,28282.9,588695,42808.01
594481,24922.99,588687,37721.03
594471,21967.43,588607,33203.64
594475,19372.45,588608,29265.42
594480,17087.9,588603,25801.21
594639,15177.92,588830,22904.9
594639,13416.36,588821,20236.86
594905,12019.8,589190,18106.02
594919,10663.27,589213,16057.08
595121,9557.96,589507,14384.16
595129,8478.46,589514,12753.82
595076,7455.55,589468,11236.22
595075,6568.3,589459,9899.99
595025,5757.0,589406,8692.58
595027,5068.43,589404,7653.83
594892,4376.54,589236,6633.38
594887,3829.78,589234,5815.53
594881,3364.95,589242,5124.35
594887,2968.04,589231,4510.53
594883,2615.03,589223,3970.05
594718,2194.42,588926,3299.03
594729,1910.88,588923,2849.86
594733,1680.9,588917,2492.36
594730,1479.16,588910,2187.3
594753,1319.08,588941,1946.85
594752,1166.81,588951,1728.79
594770,1042.13,588974,1543.43
594779,928.82,588969,1363.14
594828,854.95,589006,1227.61
594812,753.4,589008,1091.23
594729,608.37,588921,906.29
594731,521.87,588913,777.91
594717,446.64,588916,682.0
594642,339.57,588813,530.97
594621,269.87,588803,441.51
594677,267.32,588870,426.83
594675,242.7,588873,389.15
594644,195.17,588832,319.17
594636,161.36,588822,267.88
594583,103.54,588710,157.04
594587,83.01,588706,113.26
594639,105.85,588797,153.94
594645,106.73,588811,160.57
594687,126.17,588878,193.77
594686,119.66,588883,189.1
594678,102.61,588868,161.84
594680,90.98,588865,139.34
594689,86.4,588894,141.39
594690,78.64,588889,126.64
594697,74.77,588889,112.22
594716,80.27,588939,132.76
594712,72.16,588942,128.7
594757,94.34,589024,172.02
594772,102.02,589028,171.07
594780,100.75,589027,155.68
594788,97.28,589030,140.7
594804,98.97,589028,123.64
