red_raw,red_final (Filtered),ir_raw,ir_final (Filtered)
969,289.83,1625,567.32
967,282.67,1642,557.21
982,267.09,1632,500.87
981,239.94,1628,441.73
831,111.88,1446,267.05
839,75.67,1445,199.97
785,23.84,1375,119.12
783,7.47,1373,87.42
784,3.4,1383,78.81
795,9.5,1387,72.68
781,0.8,1384,62.98
793,6.63,1387,57.25
829,31.77,1415,69.82
830,36.07,1429,76.5
832,35.44,1417,63.64
886,68.64,1473,92.73
894,76.56,1478,95.56
1122,225.56,1768,283.42
1135,252.66,1770,307.97
1445,446.79,2085,500.16
1445,457.77,2086,506.82
1672,574.66,2321,623.86
1685,564.2,2332,607.94
1806,595.37,2445,628.65
1801,549.53,2463,592.86
1835,514.48,2490,551.97
1835,462.23,2481,489.02
1885,443.72,2526,462.19
1881,398.89,2529,418.44
1956,404.43,2598,418.55
1964,377.04,2596,381.87
1970,342.35,2596,340.41
1983,313.47,2608,309.32
1977,275.71,2598,268.65
1917,202.54,2528,188.63
1916,166.4,2536,157.99
1892,127.11,2511,120.13
1896,109.21,2517,104.52
1974,147.99,2579,133.5
1967,140.51,2572,124.79
1998,147.63,2608,136.29
1997,136.27,2618,134.4
2041,151.53,2662,152.19
2044,144.58,2658,141.1
2119,181.1,2743,183.62
2125,179.01,2739,176.08
2123,162.02,2750,166.72
2478,383.03,3079,371.75
2478,406.15,3079,391.81
3992,1396.79,4394,1248.94
4109,1606.2,4502,1431.27
24249,15080.33,18749,10946.5
24567,17402.42,18974,12561.53
29326,19718.64,22370,14191.73
29306,18620.73,22359,13394.6
29866,17149.05,22857,12398.18
29908,15359.19,22872,11110.78
30478,13996.09,23206,10073.85
30540,12513.31,23254,8994.85
30582,11112.28,23284,7984.34
32777,11299.43,24612,7950.13
32791,10401.26,24614,7271.27
30388,7679.54,22072,4775.45
30317,6299.83,22017,3708.55
33635,7654.84,24627,4884.38
33865,7503.09,24804,4886.03
38622,10033.32,28958,7269.95
38707,9878.02,29032,7303.96
41166,10659.83,31324,8238.33
41282,10033.61,31426,7845.54
45068,11577.34,34940,9449.62
45094,11004.28,34966,9071.45
48079,11940.15,37855,10154.91
