pc_time_ms,emg_raw,emg_clean,emg_envelope,emg_ts,ppg_red_raw,ppg_ir_raw,ppg_red,ppg_ir,ppg_ts
84,0,0.0,0.0,192127,682,869,-3.13,-5.94,192016
85,0,0.0,0.0,192172,682,873,-3.57,-4.37,192059
86,0,0.0,0.0,192214,685,883,-1.36,3.12,192101
86,0,0.0,0.0,192257,687,878,0.66,1.37,192144
86,0,0.0,0.0,192299,676,872,-6.3,-3.22,192186
389,0,0.0,0.0,192341,684,879,-2.12,0.61,192229
389,0,0.0,0.0,192384,685,874,-0.22,-1.85,192271
390,0,0.0,0.0,192427,680,873,-3.09,-2.98,192314
390,0,0.0,0.0,192468,689,867,2.5,-7.05,192355
390,0,0.0,0.0,192510,686,871,1.68,-4.78,192397
594,0,0.0,0.0,192552,681,878,-2.04,0.9,192440
595,0,0.0,0.0,192596,692,871,4.54,-2.54,192483
595,0,0.0,0.0,192639,687,871,2.8,-3.19,192526
597,0,0.0,0.0,192680,684,882,0.11,4.33,192567
597,0,0.0,0.0,192721,686,870,0.77,-2.23,192608
797,0,0.0,0.0,192765,685,864,0.2,-7.73,192653
798,0,0.0,0.0,192808,689,872,2.73,-3.07,192695
798,0,0.0,0.0,192852,690,875,3.81,0.38,192739
798,0,0.0,0.0,192893,689,872,3.08,-0.81,192780
1002,0,0.0,0.0,192939,686,878,0.62,3.0,192826
1002,0,0.0,0.0,192982,679,872,-4.76,-0.33,192869
1003,0,0.0,0.0,193024,680,869,-5.04,-3.16,192911
1003,0,0.0,0.0,193067,680,882,-4.68,5.14,192954
1004,0,0.0,0.0,193108,684,883,-1.5,7.47,192995
1111,0,0.0,0.0,193150,685,883,0.1,7.42,193038
1112,0,0.0,0.0,193193,686,872,1.16,-0.62,193080
1112,0,0.0,0.0,193237,684,872,-0.31,-2.75,193124
1113,0,0.0,0.0,193279,683,872,-1.03,-2.73,193166
1113,0,0.0,0.0,193320,686,874,0.9,-1.15,193207
1312,0,0.0,0.0,193361,683,876,-0.72,0.69,193249
1312,0,0.0,0.0,193404,691,871,4.32,-2.27,193291
1313,0,0.0,0.0,193447,681,877,-1.51,1.22,193334
1313,0,0.0,0.0,193489,682,874,-2.17,-0.03,193376
1313,0,0.0,0.0,193532,694,868,5.92,-4.38,193419
1617,0,0.0,0.0,193574,694,874,7.46,-1.06,193462
1617,0,0.0,0.0,193618,683,867,-0.19,-4.85,193505
1618,0,0.0,0.0,193661,676,871,-6.81,-2.7,193548
1618,0,0.0,0.0,193703,688,875,0.18,0.76,193590
1619,0,0.0,0.0,193744,687,881,1.25,5.6,193631
1821,0,0.0,0.0,193789,687,872,1.41,0.29,193677
1822,0,0.0,0.0,193832,687,875,1.33,0.95,193719
1822,0,0.0,0.0,193875,684,864,-1.18,-6.1,193762
1822,0,0.0,0.0,193917,686,883,0.01,4.91,193804
2026,0,0.0,0.0,193963,693,873,5.02,0.52,193851
2027,0,0.0,0.0,194006,690,878,3.83,2.75,193893
2027,0,0.0,0.0,194048,680,872,-3.52,-0.97,193935
2028,0,0.0,0.0,194091,683,874,-3.05,-0.47,193978
2029,0,0.0,0.0,194132,683,875,-2.67,0.37,194019
2232,0,0.0,0.0,194173,686,881,-0.33,4.58,194061
2233,0,0.0,0.0,194216,686,872,0.28,-0.8,194103
2233,0,0.0,0.0,194260,685,868,-0.26,-4.78,194147
2234,0,0.0,0.0,194302,699,874,9.05,-1.34,194189
2234,0,0.0,0.0,194344,681,874,-1.5,-0.36,194231
2437,0,0.0,0.0,194385,687,868,0.02,-4.12,194273
2438,0,0.0,0.0,194428,687,879,0.4,2.69,194315
2438,0,0.0,0.0,194472,686,872,-0.21,-0.54,194359
2438,0,0.0,0.0,194514,687,879,0.1,2.99,194401
2439,0,0.0,0.0,194555,687,879,0.1,2.99,194442
2608,0,0.0,0.0,194597,689,875,1.39,1.37,194485
2609,0,0.0,0.0,194640,680,870,-3.73,-2.51,194527
2609,0,0.0,0.0,194683,686,872,-0.66,-1.93,194570
2609,0,0.0,0.0,194725,689,871,2.19,-2.29,194612
2609,0,0.0,0.0,194767,682,874,-1.99,-0.17,194654
2746,0,0.0,0.0,194809,683,875,-2.2,1.05,194697
2746,0,0.0,0.0,194852,680,869,-4.09,-2.77,194739
2747,0,0.0,0.0,194895,679,883,-4.89,5.93,194782
2747,0,0.0,0.0,194937,691,866,3.4,-3.83,194824
2954,0,0.0,0.0,194979,674,875,-6.25,0.1,194874
2955,0,0.0,0.0,195030,685,877,-0.74,2.42,194917
2955,0,0.0,0.0,195072,683,880,-0.64,4.82,194959
2956,0,0.0,0.0,195114,693,870,7.47,-3.66,195001
2956,0,0.0,0.0,195156,680,875,-1.75,0.2,195043
