ts,red_raw,ir_raw,led_current
29491,1715459,1994104,40
29507,1715469,1994100,40
29521,1715496,1994224,40
29535,1715498,1994225,40
29549,1715482,1994234,40
29564,1715520,1994253,40
29579,1715499,1994241,40
29595,1715505,1994253,40
29610,1715087,1993215,40
29624,1715095,1993179,40
29640,1715080,1993095,40
29656,1715033,1993060,40
29670,1715012,1992969,40
29684,1714961,1992930,40
29699,1714981,1992870,40
29714,1714968,1992902,40
29728,1714967,1992903,40
29742,1714955,1992918,40
29763,1715007,1992953,40
29778,1715006,1992966,40
29792,1715016,1992989,40
29808,1715118,1993182,40
29823,1715057,1993206,40
29838,1715070,1993190,40
29853,1715078,1993217,40
29868,1715054,1993223,40
29883,1715091,1993194,40
29900,1715073,1993218,40
29915,1715044,1993145,40
29933,1715046,1993145,40
29948,1715044,1993129,40
29962,1715024,1993133,40
29977,1715026,1993143,40
29992,1714988,1993113,40
30009,1715034,1993263,40
30025,1715056,1993247,40
30040,1715078,1993306,40
30055,1715053,1993258,40
30069,1715076,1993271,40
30083,1715061,1993279,40
30107,1715069,1993235,40
30122,1715183,1993597,40
30141,1715211,1993590,40
30157,1715190,1993620,40
30171,1715171,1993601,40
30185,1715187,1993639,40
30207,1715222,1993779,40
30222,1715291,1993772,40
30236,1715236,1993777,40
30251,1715225,1993791,40
30266,1715253,1993795,40
30281,1715234,1993773,40
30295,1715251,1993771,40
30310,1715266,1993908,40
30325,1715282,1993925,40
30339,1715283,1993968,40
30353,1715249,1993921,40
30376,1715284,1993932,40
30391,1715301,1993944,40
30405,1715279,1993890,40
30427,1714883,1992941,40
30442,1714844,1992863,40
30456,1714854,1992815,40
30470,1714823,1992762,40
30486,1714769,1992720,40
30501,1714798,1992689,40
30518,1714770,1992557,40
30533,1714790,1992608,40
30548,1714752,1992599,40
30562,1714769,1992632,40
30576,1714759,1992628,40
30600,1714832,1992693,40
30615,1714873,1992834,40
30630,1714820,1992821,40
30646,1714840,1992847,40
30661,1714830,1992919,40
30675,1714822,1992867,40
30690,1714841,1992876,40
30705,1714779,1992802,40
30721,1714804,1992766,40
30736,1714803,1992788,40
30750,1714796,1992777,40
30769,1714802,1992760,40
30786,1714788,1992778,40
30802,1714817,1992857,40
30817,1714818,1992860,40
30832,1714813,1992867,40
30846,1714824,1992864,40
30860,1714846,1992843,40
30875,1714825,1992857,40
30890,1714831,1992886,40
30905,1714892,1993179,40
30919,1714956,1993198,40
30934,1714927,1993187,40
30949,1714924,1993194,40
30963,1714932,1993204,40
30977,1714942,1993223,40
30997,1714967,1993394,40
31012,1714969,1993364,40
31026,1714950,1993390,40
31043,1714998,1993375,40
31058,1714980,1993377,40
31073,1715015,1993389,40
31087,1714986,1993362,40
31101,1714993,1993477,40
31116,1715024,1993491,40
31132,1715046,1993488,40
31147,1715021,1993472,40
31165,1715042,1993506,40
31180,1715007,1993499,40
31194,1714988,1993464,40
31208,1715007,1993445,40
31230,1714959,1993386,40
31245,1714935,1993250,40
31259,1714885,1993211,40
31273,1714869,1993122,40
31288,1714864,1993068,40
31302,1714479,1992102,40
31316,1714500,1992122,40
31337,1714477,1992139,40
31352,1714458,1992149,40
31366,1714481,1992131,40
31383,1714471,1992146,40
31399,1714613,1992516,40
31413,1714616,1992526,40
31433,1714620,1992532,40
31449,1714616,1992543,40
31464,1714623,1992487,40
31478,1714647,1992545,40
31492,1714587,1992588,40
31507,1714600,1992530,40
31521,1714620,1992532,40
31539,1714602,1992547,40
31555,1714600,1992504,40
31569,1714575,1992493,40
31587,1714598,1992475,40
31602,1714560,1992407,40
31616,1714559,1992425,40
31630,1714559,1992436,40
31646,1714579,1992444,40
31661,1714573,1992451,40
31675,1714554,1992490,40
31689,1714577,1992458,40
31711,1714678,1992763,40
31727,1714662,1992774,40
31742,1714678,1992771,40
31759,1714666,1992780,40
31774,1714697,1992810,40
31789,1714672,1992796,40
31803,1714707,1992937,40
31817,1714712,1992925,40
31832,1714715,1992929,40
31848,1714730,1992937,40
31864,1714731,1992944,40
31879,1714709,1992938,40
31898,1714737,1993009,40
31914,1714713,1993023,40
31928,1714765,1993031,40
31943,1714738,1993035,40
31958,1714750,1993043,40
31973,1714746,1993035,40
31987,1714727,1993056,40
32001,1714668,1992818,40
32021,1714620,1992781,40
32037,1714593,1992682,40
32051,1714566,1992622,40
32066,1714504,1992566,40
32082,1714537,1992511,40
32097,1714244,1991740,40
32112,1714255,1991749,40
32127,1714242,1991780,40
32150,1714258,1991807,40
32165,1714241,1991801,40
32179,1714382,1992098,40
32194,1714391,1992140,40
32210,1714349,1992163,40
32224,1714387,1992171,40
32239,1714374,1992176,40
32256,1714340,1992189,40
32271,1714389,1992163,40
32285,1714358,1992163,40
32299,1714370,1992173,40
32319,1714384,1992159,40
32334,1714382,1992141,40
32351,1714354,1992120,40
32367,1714366,1992102,40
32382,1714347,1992060,40
32396,1714294,1991974,40
32410,1714299,1991915,40
32425,1714289,1991958,40
32440,1714289,1991969,40
32460,1714293,1991959,40
32476,1714321,1991974,40
32490,1714319,1991969,40
32504,1714406,1992266,40
32518,1714413,1992316,40
32533,1714426,1992310,40
32548,1714394,1992307,40
32564,1714418,1992331,40
32579,1714429,1992319,40
32594,1714429,1992505,40
32608,1714493,1992494,40
32623,1714487,1992506,40
32640,1714476,1992522,40
32657,1714469,1992506,40
32673,1714491,1992509,40
32688,1714533,1992652,40
32703,1714515,1992665,40
32717,1714549,1992671,40
32731,1714535,1992688,40
32746,1714541,1992670,40
32762,1714532,1992677,40
32777,1714543,1992725,40
32791,1714154,1991722,40
32812,1714148,1991644,40
32827,1714141,1991606,40
32848,1714091,1991504,40
32865,1714076,1991468,40
32880,1714056,1991454,40
32899,1714034,1991328,40
32921,1714046,1991359,40
32937,1714038,1991376,40
32952,1714047,1991368,40
32967,1714069,1991383,40
32982,1714057,1991418,40
32997,1714106,1991534,40
33011,1714100,1991537,40
33025,1714098,1991556,40
33045,1714086,1991555,40
33061,1714104,1991551,40
33076,1714104,1991576,40
33091,1714048,1991431,40
33106,1714060,1991419,40
33121,1714033,1991411,40
33135,1714029,1991390,40
33149,1714030,1991389,40
33173,1714038,1991386,40
33188,1714034,1991509,40
33202,1714053,1991521,40
33216,1714059,1991500,40
33232,1714058,1991521,40
33246,1714076,1991536,40
33260,1714090,1991599,40
33284,1714154,1991820,40
33300,1714159,1991837,40
33314,1714130,1991795,40
33328,1714160,1991830,40
33343,1714159,1991842,40
33359,1714185,1991831,40
