pc_time_ms,ecg,bpm,leadOff,ts
183,0,0,0,8786
184,0,0,0,8792
184,0,0,0,8797
184,0,0,0,8802
184,0,0,0,8807
185,0,0,0,8812
185,0,0,0,8817
185,0,0,0,8822
185,0,0,0,8827
185,0,0,0,8832
185,0,0,0,8837
186,0,0,0,8842
186,0,0,0,8847
186,0,0,0,8852
186,0,0,0,8857
186,0,0,0,8862
187,0,0,0,8867
187,0,0,0,8872
187,0,0,0,8877
187,0,0,0,8882
187,0,0,0,8887
188,0,0,0,8892
188,0,0,0,8897
188,0,0,0,8902
189,0,0,0,8907
189,0,0,0,8912
189,0,0,0,8917
461,0,0,0,8922
462,0,0,0,8928
462,0,0,0,8933
462,0,0,0,8938
462,0,0,0,8943
463,0,0,0,8948
463,0,0,0,8953
463,0,0,0,8958
463,0,0,0,8963
463,0,0,0,8968
464,0,0,0,8973
464,0,0,0,8978
464,0,0,0,8983
464,0,0,0,8988
464,0,0,0,8993
465,0,0,0,8998
465,0,0,0,9003
465,0,0,0,9008
465,0,0,0,9013
466,0,0,0,9018
466,0,0,0,9023
466,0,0,0,9028
466,0,0,0,9033
466,0,0,0,9038
467,0,0,0,9043
467,0,0,0,9048
467,0,0,0,9053
467,0,0,0,9058
467,0,0,0,9064
468,0,0,0,9069
468,0,0,0,9074
468,0,0,0,9079
468,0,0,0,9084
468,0,0,0,9089
469,0,0,0,9094
469,0,0,0,9099
469,0,0,0,9104
469,0,0,0,9109
469,0,0,0,9114
469,0,0,0,9119
470,0,0,0,9124
470,0,0,0,9129
470,0,0,0,9134
470,0,0,0,9139
470,0,0,0,9144
471,0,0,0,9149
471,0,0,0,9154
471,0,0,0,9159
471,0,0,0,9164
471,0,0,0,9169
472,0,0,0,9174
472,0,0,0,9179
472,0,0,0,9184
472,0,0,0,9189
473,0,0,0,9194
638,0,0,0,9199
638,0,0,0,9246
638,0,0,0,9251
638,0,0,0,9256
638,0,0,0,9261
639,0,0,0,9266
639,0,0,0,9271
639,0,0,0,9276
639,0,0,0,9281
639,0,0,0,9286
639,0,0,0,9291
640,0,0,0,9296
640,0,0,0,9301
640,0,0,0,9306
640,0,0,0,9311
641,0,0,0,9316
641,0,0,0,9321
641,0,0,0,9326
642,0,0,0,9331
715,0,0,0,9336
715,0,0,0,9341
715,0,0,0,9346
716,0,0,0,9351
716,0,0,0,9356
716,0,0,0,9361
716,0,0,0,9366
716,0,0,0,9371
716,0,0,0,9376
716,0,0,0,9381
717,0,0,0,9386
717,0,0,0,9391
717,0,0,0,9396
717,0,0,0,9401
718,0,0,0,9406
718,0,0,0,9411
718,0,0,0,9416
718,0,0,0,9421
718,0,0,0,9426
718,0,0,0,9431
718,0,0,0,9436
719,0,0,0,9441
719,0,0,0,9446
719,0,0,0,9451
719,0,0,0,9456
719,0,0,0,9461
719,0,0,0,9466
871,0,0,0,9471
871,0,0,0,9476
871,0,0,0,9481
872,0,0,0,9486
872,0,0,0,9491
872,0,0,0,9496
872,0,0,0,9501
872,0,0,0,9506
872,0,0,0,9511
872,0,0,0,9516
873,0,0,0,9521
873,0,0,0,9526
873,0,0,0,9531
874,0,0,0,9536
874,0,0,0,9541
874,0,0,0,9546
874,0,0,0,9551
874,0,0,0,9556
875,0,0,0,9561
875,0,0,0,9566
875,0,0,0,9571
875,0,0,0,9576
876,0,0,0,9581
876,0,0,0,9586
876,0,0,0,9591
876,0,0,0,9596
877,0,0,0,9601
1039,0,0,0,9606
1039,0,0,0,9611
1040,0,0,0,9616
1040,0,0,0,9621
1040,0,0,0,9626
1040,0,0,0,9631
1041,0,0,0,9636
1041,0,0,0,9641
1041,0,0,0,9646
1042,0,0,0,9651
1043,0,0,0,9656
1043,0,0,0,9661
1044,0,0,0,9666
1045,0,0,0,9671
1045,0,0,0,9676
1045,0,0,0,9681
1046,0,0,0,9686
1046,0,0,0,9691
1046,0,0,0,9696
1046,0,0,0,9701
1047,0,0,0,9706
1047,0,0,0,9711
1047,0,0,0,9716
1047,0,0,0,9721
1048,0,0,0,9726
1048,0,0,0,9731
1048,0,0,0,9736
1111,0,0,0,9741
1111,0,0,0,9747
1111,0,0,0,9752
1112,0,0,0,9757
1112,0,0,0,9762
1112,0,0,0,9767
1112,0,0,0,9772
1112,0,0,0,9777
1113,0,0,0,9782
1113,0,0,0,9787
1113,0,0,0,9792
1113,0,0,0,9797
1113,0,0,0,9802
1113,0,0,0,9807
1114,0,0,0,9812
1114,0,0,0,9817
1114,0,0,0,9822
1114,0,0,0,9827
1114,0,0,0,9832
1114,0,0,0,9837
1114,0,0,0,9842
1115,0,0,0,9847
1115,0,0,0,9852
1115,0,0,0,9857
1115,0,0,0,9862
1115,0,0,0,9867
1115,0,0,0,9872
1160,0,0,0,9877
1160,0,0,0,9883
1161,0,0,0,9888
1161,0,0,0,9893
1161,0,0,0,9898
1161,0,0,0,9903
1161,0,0,0,9908
1162,0,0,0,9913
1162,0,0,0,9918
1162,0,0,0,9923
1292,0,0,0,9928
1292,0,0,0,9933
1293,0,0,0,9938
1293,0,0,0,9943
1293,0,0,0,9948
1293,0,0,0,9953
1294,0,0,0,9958
1294,0,0,0,9963
1294,0,0,0,9968
1294,0,0,0,9973
1295,0,0,0,9978
1295,0,0,0,9983
1295,0,0,0,9988
1295,0,0,0,9993
1295,0,0,0,9998
1296,0,0,0,10003
1296,0,0,0,10008
1296,0,0,0,10013
1296,0,0,0,10018
