red_raw,red_final (Filtered),ir_raw,ir_final (Filtered)
501,-147.59,493,-148.15
499,-131.21,493,-131.6
501,-114.66,510,-104.89
518,-89.38,503,-94.03
507,-82.89,506,-81.35
511,-71.56,507,-70.62
627,15.41,505,-63.3
642,46.03,506,-55.45
744,118.49,513,-44.08
741,124.65,521,-32.12
709,94.13,514,-31.11
709,78.51,514,-28.23
661,35.65,516,-23.78
660,21.21,511,-24.02
640,2.33,508,-24.07
640,-2.61,509,-21.37
775,87.25,523,-9.47
780,105.8,522,-6.35
1081,304.13,574,29.97
1104,343.71,575,37.23
1108,327.29,574,35.23
1604,629.41,730,136.77
1627,667.55,742,158.77
2526,1225.89,1149,424.86
2566,1289.4,1167,467.87
4586,2556.18,2022,1014.68
4751,2769.26,2088,1110.64
40939,26948.78,25037,16489.04
44279,32989.55,27643,20710.27
596513,403455.56,324480,219836.25
596798,462550.81,324819,251473.5
598266,439295.88,326825,239520.44
596642,395254.19,588161,392204.22
596639,350806.84,588155,397390.62
596536,309945.22,587942,364977.66
596538,273506.22,587951,326014.97
596487,241220.08,587861,288633.16
596492,212741.45,587866,254870.06
596540,187653.38,587928,224906.03
596552,165511.47,587920,198379.73
596562,145978.28,587945,174979.39
596567,128746.63,587946,154324.41
596635,113590.79,588074,136188.94
596644,100196.63,588092,120143.84
596891,88536.4,588533,106263.7
596892,78130.87,588536,93804.7
597179,69111.79,589023,83080.74
597188,61015.49,589037,73379.82
597192,53831.5,589031,64741.76
597431,47641.52,589448,57384.96
597450,42075.96,589456,50695.93
597483,37146.6,589533,44786.05
597492,32777.32,589533,39519.12
597627,29002.49,589761,35012.01
597618,25598.78,589760,30922.33
597643,22598.7,589757,27281.48
597642,19935.85,589759,24064.24
597806,17693.66,590027,21404.21
597812,15640.19,590035,18933.65
598033,13952.29,590404,16962.42
598042,12356.05,590417,15043.44
598029,10902.76,590415,13289.59
598138,9690.32,590587,11842.44
598156,8579.45,590604,10490.21
598251,7639.84,590775,9379.68
598262,6765.97,590785,8315.26
598462,6109.65,591159,7597.41
598465,5430.79,591165,6779.49
598840,5054.06,591825,6445.73
598837,4530.52,591837,5825.48
599024,4142.23,592165,5398.48
599027,3696.86,592177,4843.29
