pc_time_ms,red_raw,ir_raw,red_filtered,ir_filtered,esp_ts
5798,603925,601779,359188.19,358911.88,22533
5799,603925,601808,317663.12,317620.0,22573
5799,604030,602146,280475.0,280650.84,22613
6002,604032,602159,247447.73,247671.11,22653
6003,604136,602264,218323.67,218540.75,22693
6005,604121,602260,192559.55,192764.08,22733
6006,604109,602263,169817.31,170011.53,22773
6006,604225,602341,149840.95,149990.69,22813
6207,604233,602347,132173.8,132298.34,22853
6207,604265,602451,116594.91,116751.13,22893
6208,604268,602457,102836.74,102989.77,22933
6208,604232,602458,90671.66,90835.77,22973
6208,604234,602457,79959.67,80110.68,23013
6412,604255,602505,70530.1,70683.29,23053
6413,604248,602507,62200.25,62347.12,23093
6413,604226,602465,54840.0,54959.38,23133
6413,604220,602456,48355.7,48456.0,23173
6414,604117,602272,42573.73,42606.3,23213
6617,604116,602273,37525.13,37539.37,23253
6618,604110,602268,33083.78,33092.88,23293
6618,604101,602264,29168.08,29178.44,23333
6619,604111,602271,25727.83,25735.64,23373
6620,604100,602271,22683.48,22697.41,23413
6823,604091,602271,19996.99,20017.31,23453
6823,604104,602321,17642.09,17687.28,23493
6824,604109,602317,15563.95,15605.53,23533
6824,604098,602365,13720.08,13796.95,23573
6824,604098,602371,12098.25,12181.46,23613
7129,604132,602461,10691.97,10807.5,23653
7129,604129,602463,9433.73,9550.94,23693
7129,604173,602577,8350.58,8505.4,23733
7130,604169,602575,7370.51,7523.13,23773
7130,604197,602681,6520.7,6712.36,23813
7344,604199,602677,5757.92,5939.11,23853
7344,604204,602685,5083.37,5248.68,23893
7345,604193,602694,4477.22,4638.02,23933
7345,604140,602552,3911.18,3997.36,23973
7346,604125,602574,3428.6,3513.65,24013
7346,604136,602573,3025.16,3094.75,24053
7346,604127,602581,2662.34,2733.56,24093
7347,604141,602566,2355.75,2401.88,24133
7347,604130,602617,2072.37,2150.07,24173
7347,604133,602620,1828.18,1907.23,24213
7348,604123,602629,1605.73,1691.18,24253
7641,604121,602635,1412.88,1498.1,24293
7641,604081,602582,1218.24,1287.45,24333
7641,604087,602586,1070.51,1128.53,24373
7641,604064,602582,927.52,990.56,24413
7642,604060,602577,810.57,868.85,24453
7747,604042,602569,700.63,759.57,24493
7748,604043,602559,614.46,661.24,24533
7748,603990,602516,505.26,551.73,24573
7748,604008,602527,447.28,485.07,24613
7749,604005,602520,392.93,422.66,24653
8050,603941,602421,302.98,304.59,24693
8051,603932,602414,248.76,244.59,24733
8051,603682,601917,45.82,-125.77,24773
8052,603667,601912,-19.05,-211.4,24813
8052,603377,601337,-228.94,-602.09,24853
8255,603362,601315,-272.38,-664.16,24893
8255,602814,600353,-629.15,-1271.14,24933
8256,602797,600331,-677.01,-1330.9,24973
8256,602439,599716,-872.85,-1647.43,25013
8256,602424,599689,-858.31,-1605.93,25053
8460,602012,598974,-1059.51,-1941.14,25093
8461,601990,598960,-1035.3,-1870.68,25133
8461,601853,598722,-1033.93,-1855.21,25173
8461,601829,598712,-962.42,-1701.35,25213
8461,601841,598712,-855.14,-1518.99,25253
8665,601721,598512,-836.73,-1479.52,25293
8665,601711,598506,-768.15,-1348.7,25333
8665,601533,598223,-805.87,-1392.41,25373
8666,601530,598211,-749.21,-1293.83,25413
8666,601365,597961,-782.83,-1328.09,25453
8870,601361,597960,-727.76,-1225.16,25493
8871,601310,597885,-686.81,-1146.27,25533
8871,601302,597875,-623.87,-1036.34,25573
8871,601118,597524,-679.2,-1157.49,25613
8871,601112,597508,-639.81,-1100.93,25653
9075,600916,597188,-707.75,-1209.1,25693
9076,600919,597185,-663.05,-1136.12,25733
9076,600913,597183,-599.8,-1023.18,25773
9076,601000,597328,-474.68,-810.82,25813
9076,601007,597333,-398.53,-685.69,25853
9279,601053,597425,-314.74,-534.38,25893
9280,601067,597434,-257.72,-445.19,25933
9280,601280,597798,-78.28,-140.13,25973
9280,601296,597821,-15.81,-36.27,26013
9280,601699,598516,272.43,460.73,26053
9280,601723,598537,337.95,560.67,26093
9586,602226,599430,664.43,1139.51,26133
9586,602231,599442,693.6,1196.6,26173
9587,602493,599847,818.71,1382.48,26213
9587,602493,599847,780.97,1312.32,26253
9587,602648,600080,809.84,1340.69,26293
9894,602642,600094,744.64,1244.03,26333
9894,602628,599942,655.94,1012.29,26373
9894,602614,599932,568.82,861.85,26413
9895,602631,599936,510.38,754.0,26453
9895,602747,600064,530.66,749.4,26493
9895,602761,600062,500.32,683.54,26533
9895,602895,600264,540.65,745.27,26573
9895,602908,600275,513.82,705.21,26613
9896,602990,600372,518.91,700.92,26653
9896,602992,600377,477.71,643.95,26693
10099,603062,600454,474.12,627.07,26733
10099,603075,600456,441.96,571.22,26773
10099,603177,600616,465.18,616.69,26813
10100,603188,600627,439.09,583.38,26853
10100,603284,600767,460.08,620.01,26893
10209,603287,600772,428.53,580.21,26933
10210,603419,600966,473.23,651.76,26973
10210,603414,600985,441.09,627.44,27013
10210,603423,600991,401.82,572.42,27053
10210,603470,601101,389.67,584.28,27093
10420,603475,601100,357.04,537.24,27133
10420,603432,600953,289.78,381.13,27173
10420,603413,600944,235.65,303.69,27213
10421,603347,600783,157.74,150.2,27253
10421,603343,600784,122.1,99.65,27293
10621,603402,600862,142.55,131.05,27333
10621,603407,600854,138.99,122.5,27373
10621,603416,600886,132.49,131.54,27413
10621,603413,600870,117.58,111.89,27453
10622,603365,600776,71.63,34.29,27493
10918,603361,600771,51.35,8.54,27533
10918,603328,600696,19.69,-49.19,27573
10919,603316,600703,2.05,-54.81,27613
10919,603316,600714,-2.61,-44.16,27653
10919,603363,600794,28.12,16.03,27693
10920,603363,600789,33.43,26.4,27733
11031,603420,600875,70.31,84.7,27773
11031,603413,600872,68.95,90.14,27813
11032,603470,600961,101.17,143.84,27853
11032,603464,600963,96.61,146.47,27893
11032,603464,600957,87.33,130.69,27933
11231,603471,600958,82.38,116.39,27973
11231,603323,600619,-25.52,-125.23,28013
11231,603310,600609,-59.12,-182.02,28053
11232,603315,600623,-59.19,-171.47,28093
11232,603319,600621,-51.55,-155.71,28133
11532,603290,600594,-64.84,-156.77,28173
11532,603312,600594,-47.89,-143.8,28213
11532,603306,600574,-43.62,-141.85,28253
11533,603283,600506,-54.35,-175.12,28293
11533,603272,600515,-59.87,-162.63,28333
11737,603278,600512,-52.16,-147.78,28373
11737,603272,600502,-49.81,-138.25,28413
11737,603366,600674,18.24,-8.4,28453
11738,603375,600682,39.82,30.31,28493
11738,603469,600846,105.15,147.85,28533
11942,603477,600845,118.05,164.2,28573
11942,603518,600923,138.94,206.91,28613
11942,603522,600933,135.12,206.85,28653
11943,603607,601075,179.95,285.0,28693
11943,603608,601079,176.72,283.22,28733
12147,603591,601078,149.53,258.2,28773
12147,603568,600993,114.57,172.87,28813
12147,603565,600995,94.11,138.15,28853
12148,603444,600695,-0.39,-84.17,28893
12148,603435,600681,-30.17,-142.28,28933
12352,603374,600564,-76.14,-223.62,28973
12352,603374,600571,-81.24,-220.4,29013
12352,603400,600591,-58.2,-187.55,29053
12353,603395,600593,-50.85,-162.1,29093
12353,603381,600543,-54.16,-175.67,29133
12557,603379,600549,-51.76,-160.23,29173
12558,603413,600604,-23.89,-105.79,29213
12558,603421,600617,-9.47,-74.4,29253
12558,603523,600815,63.6,73.08,29293
12558,603533,600810,83.33,100.51,29333
12558,603541,600828,86.6,111.05,29373
12761,603600,600942,119.82,181.06,29413
12761,603605,600947,121.38,186.73,29453
12761,603678,601073,160.7,257.18,29493
12761,603683,601078,160.4,256.51,29533
12762,603693,601103,153.44,251.52,29573
12966,603695,601115,140.07,237.04,29613
12966,603720,601155,141.76,240.36,29653
12966,603730,601155,136.87,220.86,29693
12966,603673,601032,85.7,114.58,29733
12967,603669,601012,62.93,64.68,29773
13094,603513,600688,-53.15,-171.36,29813
13094,603523,600682,-71.07,-220.2,29853
13094,603585,600801,-27.81,-133.75,29893
13095,603581,600807,-17.3,-96.71,29933
13095,603596,600839,-3.17,-57.72,29973
13376,603610,600825,10.11,-52.49,30013
13376,603606,600819,9.89,-50.77,30053
13376,603644,600884,34.63,-2.3,30093
13377,603644,600886,37.86,11.41,30133
13377,603651,600867,40.22,1.07,30173
13377,603650,600870,36.72,0.42,30213
13580,603702,600983,67.73,76.27,30253
13581,603707,600988,73.17,92.28,30293
13581,603726,601023,81.12,112.04,30333
13581,603731,601025,79.68,108.84,30373
13785,603761,601111,92.75,156.83,30413
13786,603778,601109,99.66,154.27,30453
13786,603817,601228,119.22,220.7,30493
13786,603822,601228,117.45,218.78,30533
13786,603827,601235,110.4,204.49,30573
13990,603816,601224,91.9,176.2,30613
13990,603828,601222,87.55,152.91,30653
13990,603677,600883,-22.53,-94.08,30693
13991,603665,600874,-56.32,-154.18,30733
13991,603619,600782,-91.09,-218.21,30773
14195,603616,600788,-94.07,-211.78,30813
14196,603605,600744,-94.31,-221.91,30853
14196,603610,600733,-83.08,-213.12,30893
14196,603613,600713,-71.13,-206.34,30933
14196,603611,600696,-63.47,-198.69,30973
14196,603493,600476,-135.6,-328.1,31013
14399,603497,600479,-139.58,-330.81,31053
14399,603485,600459,-136.86,-317.0,31093
14400,603482,600457,-126.64,-288.15,31133
14400,603478,600468,-116.1,-249.15,31173
14400,603523,600520,-73.32,-183.35,31213
14604,603508,600530,-66.48,-144.58,31253
14604,603510,600501,-57.81,-142.16,31293
14605,603521,600518,-43.33,-118.17,31333
14605,603425,600314,-100.64,-239.46,31373
14605,603424,600299,-107.21,-259.75,31413
14809,603191,599895,-256.65,-514.84,31453
14810,603177,599882,-281.89,-544.16,31493
14810,602748,599037,-553.16,-1074.33,31533
14810,602740,599020,-579.94,-1128.13,31573
14810,602679,598888,-578.64,-1135.14,31613
15014,602669,598894,-536.19,-1036.95,31653
15014,602727,598959,-441.24,-880.9,31693
15014,602739,598958,-372.01,-768.03,31733
15014,602734,598948,-326.55,-681.59,31773
15015,602673,598844,-328.59,-672.33,31813
15218,602653,598851,-314.83,-608.43,31853
15219,602882,599265,-130.6,-262.36,31893
15219,602890,599284,-67.97,-140.54,31933
15219,603152,599753,129.92,217.65,31973
15220,603159,599768,173.26,299.31,32013
15423,603360,600136,304.81,542.18,32053
15424,603367,600139,316.82,559.39,32093
15424,603528,600439,401.44,718.39,32133
15424,603521,600460,384.0,711.77,32173
15424,603649,600663,433.43,786.65,32213
15628,603646,600670,407.2,743.67,32253
15629,603712,600790,410.65,750.81,32293
15629,603711,600779,376.12,681.81,32333
15629,603572,600473,242.11,400.85,32373
15629,603555,600471,176.61,295.11,32413
15833,603559,600463,147.9,238.3,32453
15833,603582,600524,143.69,244.94,32493
15834,603590,600522,135.9,224.58,32533
15834,603620,600559,142.61,225.41,32573
15834,603627,600567,137.0,211.93,32613
16038,603699,600703,172.44,282.2,32653
16038,603714,600707,176.89,278.67,32693
16038,603842,600952,249.21,419.17,32733
16038,603837,600950,242.98,417.64,32773
16039,603938,601150,288.86,516.6,32813
16039,603939,601158,276.7,503.21,32853
16242,604032,601341,312.85,580.5,32893
16243,604037,601339,298.85,549.56,32933
16243,604075,601421,295.68,550.51,32973
16243,604063,601434,261.81,513.0,33013
16244,604077,601439,240.65,463.6,33053
16447,604107,601519,235.17,465.88,33093
16448,604117,601518,220.69,426.42,33133
16448,604137,601557,211.84,406.76,33173
16448,604139,601559,193.08,368.79,33213
16448,604143,601594,174.75,351.7,33253
16652,604154,601603,162.8,323.78,33293
16652,603979,601227,28.24,36.29,33333
16653,603981,601221,-6.58,-42.97,33373
16653,603939,601167,-43.02,-95.57,33413
16653,603945,601163,-44.55,-103.39,33453
16857,603961,601194,-30.39,-75.75,33493
16857,603964,601192,-22.2,-63.75,33533
16857,604010,601324,12.63,33.51,33573
16857,604022,601319,28.45,51.71,33613
16858,604028,601330,34.03,59.34,33653
17165,604053,601388,49.36,95.25,33693
17165,604053,601392,49.04,98.91,33733
17165,604074,601402,58.95,98.15,33773
17165,604075,601407,57.18,93.06,33813
17165,604149,601567,101.72,191.64,33853
17472,604155,601570,108.32,202.19,33893
17472,604195,601654,127.75,244.28,33933
17472,604193,601654,120.46,234.23,33973
17473,604252,601759,148.14,282.53,34013
17473,604250,601772,141.21,279.59,34053
17473,604316,601862,171.99,315.79,34093
17474,604314,601862,163.81,298.22,34133
17474,604302,601863,139.89,269.27,34173
17474,604337,601925,145.58,281.0,34213
17474,604326,601925,127.36,260.2,34253
17676,604191,601603,21.14,16.24,34293
17677,604180,601579,-14.7,-62.53,34333
17677,604135,601500,-52.75,-130.17,34373
17677,604137,601499,-56.49,-136.81,34413
17678,604158,601509,-38.5,-120.2,34453
17882,604156,601503,-32.06,-109.92,34493
17882,604155,601530,-28.37,-79.87,34533
17882,604157,601526,-23.71,-68.25,34573
17882,604129,601451,-39.37,-110.07,34613
17882,604127,601446,-41.39,-114.65,34653
17883,604047,601282,-92.23,-216.52,34693
18086,604044,601270,-99.2,-231.91,34733
18086,603849,600795,-223.8,-535.94,34773
18086,603838,600763,-243.59,-588.48,34813
18087,603816,600753,-242.73,-558.71,34853
18087,603634,600231,-344.59,-855.44,34893
18291,603624,600219,-347.8,-865.77,34933
18291,602839,598709,-847.63,-1811.62,34973
18291,602808,598651,-922.39,-1935.04,35013
18292,602161,597542,-1298.76,-2549.07,35053
18292,602156,597540,-1286.8,-2489.16,35093
18495,601821,596957,-1400.58,-2656.26,35133
18496,601811,596951,-1317.57,-2477.83,35173
18496,601723,596859,-1244.67,-2285.67,35213
