ts,red_raw,ir_raw
18881,1147119,1420107
18901,1147150,1420050
18917,1147091,1419990
18932,1147083,1419927
18948,1147027,1419888
18963,1146871,1419427
18977,1146891,1419495
18991,1146876,1419463
19004,1146884,1419486
19019,1146862,1419497
19049,1146916,1419497
19064,1146919,1419602
19079,1146928,1419599
19093,1146908,1419589
19109,1146914,1419604
19124,1146923,1419597
19143,1146927,1419623
19156,1146921,1419648
19178,1146990,1419834
19207,1147010,1419817
19222,1147020,1419819
19237,1146972,1419855
19252,1147003,1419821
19267,1146993,1419826
19281,1146980,1419792
19296,1146979,1419872
19315,1147000,1419851
19333,1146998,1419864
19561,1147210,1420541
19577,1147195,1420551
19590,1147223,1420573
19605,1147209,1420558
19620,1147252,1420593
19635,1147255,1420592
19653,1147227,1420611
19668,1146858,1419650
19689,1146825,1419574
19706,1146812,1419601
19721,1146797,1419564
19735,1146772,1419531
19750,1146787,1419501
19765,1146765,1419487
19779,1146787,1419495
19794,1146765,1419512
19807,1146795,1419500
19829,1146785,1419523
20177,1146949,1420109
20192,1146984,1420132
20206,1146985,1420124
20220,1146962,1420145
20235,1147006,1420158
20250,1146981,1420139
20268,1147050,1420326
20283,1147061,1420339
20304,1147075,1420393
20320,1147024,1420339
20334,1147035,1420353
20349,1147043,1420374
20364,1147131,1420559
20380,1147102,1420538
20393,1147118,1420565
20408,1147092,1420557
20422,1147146,1420564
20441,1147104,1420548
20790,1146667,1419591
20805,1146680,1419594
20819,1146692,1419584
20833,1146726,1419603
20848,1146692,1419610
20862,1146726,1419719
20877,1146746,1419749
20892,1146702,1419748
20912,1146755,1419764
20928,1146781,1419768
20943,1146768,1419775
20958,1146846,1419986
20973,1146867,1420031
20989,1146848,1420061
21004,1146833,1420055
21019,1146851,1420044
21033,1146859,1420056
21053,1146894,1420233
21404,1146503,1419255
21420,1146487,1419259
21434,1146514,1419271
21448,1146511,1419278
21463,1146544,1419340
21478,1146528,1419347
21496,1146535,1419359
21510,1146518,1419341
21532,1146555,1419401
21549,1146588,1419556
21564,1146598,1419559
21578,1146587,1419548
21593,1146591,1419543
21609,1146573,1419530
21625,1146579,1419532
21639,1146607,1419545
21660,1146589,1419569
21674,1146623,1419622
22020,1146883,1420413
22036,1146871,1420416
22050,1146589,1419684
22064,1146597,1419627
22079,1146531,1419593
22097,1146524,1419541
22112,1146486,1419493
22125,1146498,1419435
22146,1146392,1419139
22162,1146381,1419158
22177,1146370,1419149
22192,1146351,1419175
22207,1146377,1419170
22222,1146387,1419190
22237,1146395,1419162
22252,1146447,1419290
22272,1146410,1419287
22287,1146422,1419310
22425,1146485,1419484
22442,1146500,1419571
22455,1146508,1419552
22469,1146479,1419539
22484,1146504,1419521
22501,1146464,1419538
22516,1146511,1419535
22532,1146515,1419538
22546,1146618,1419824
22567,1146608,1419813
22583,1146609,1419823
22597,1146604,1419830
22613,1146574,1419842
22629,1146609,1419854
22643,1146684,1420062
22658,1146663,1420068
22672,1146686,1420080
22837,1146504,1419678
22851,1146535,1419614
22865,1146470,1419594
22880,1146450,1419560
22896,1146419,1419505
22910,1146399,1419462
22925,1146422,1419414
22940,1146385,1419296
22961,1146360,1419294
22976,1146403,1419296
22998,1146392,1419306
23013,1146387,1419303
23028,1146391,1419333
23043,1146453,1419454
23058,1146444,1419483
23072,1146450,1419470
23086,1146442,1419507
23107,1146465,1419514
23350,1146618,1420081
23365,1146630,1420090
23379,1146662,1420085
23393,1146652,1420095
23409,1146640,1420111
23423,1146622,1420108
23438,1146717,1420299
23454,1146706,1420295
23474,1146725,1420310
23492,1146736,1420309
23507,1146739,1420302
23521,1146739,1420302
23536,1146771,1420479
23551,1146738,1420485
23566,1146761,1420492
23580,1146782,1420490
23594,1146806,1420448
23616,1146775,1420472
23861,1146333,1419382
23876,1146337,1419399
23890,1146326,1419391
23905,1146347,1419444
23920,1146355,1419430
23934,1146353,1419489
23950,1146363,1419490
23965,1146358,1419478
23986,1146349,1419513
24001,1146372,1419472
24015,1146340,1419490
24029,1146387,1419580
24044,1146397,1419572
24059,1146399,1419590
24074,1146399,1419612
24089,1146395,1419620
24103,1146403,1419602
24123,1146465,1419889
24271,1146588,1420137
24286,1146579,1420139
24299,1146590,1420136
24314,1146629,1420176
24330,1146609,1420213
24345,1146604,1420180
24360,1146585,1420104
24376,1146564,1420116
24397,1146543,1420006
24412,1146517,1419984
24430,1146139,1418954
24445,1146132,1419002
24460,1146124,1419004
24475,1146138,1418989
24489,1146116,1418984
24504,1146130,1418988
24518,1146124,1418973
24539,1146146,1419155
24783,1146259,1419385
24798,1146246,1419352
24812,1146257,1419391
24826,1146328,1419587
24842,1146336,1419560
24857,1146308,1419636
24875,1146343,1419601
24889,1146346,1419637
24912,1146354,1419677
24927,1146424,1419857
24942,1146425,1419877
24956,1146440,1419879
24973,1146425,1419903
24988,1146447,1419902
25002,1146443,1419896
25017,1146443,1419896
25031,1146538,1420108
25052,1146531,1420121
25193,1146085,1418979
25209,1146080,1418941
25223,1146045,1418931
25237,1146075,1419016
25252,1146098,1419017
25266,1146099,1419035
25281,1146083,1419016
25296,1146059,1419023
25317,1146091,1419028
25332,1146106,1419149
25347,1146096,1419173
25363,1146130,1419184
25378,1146150,1419162
25393,1146140,1419210
25407,1146157,1419220
25422,1146197,1419287
25436,1146164,1419238
25449,1146165,1419310
25464,1146146,1419310
25485,1146161,1419271
25500,1146166,1419266
25515,1146180,1419312
25530,1146225,1419461
25545,1146225,1419460
25559,1146212,1419470
25574,1146240,1419467
25705,1146322,1419765
25721,1146411,1419981
25735,1146393,1419961
25749,1146444,1420011
25764,1146421,1419988
25779,1146420,1419990
25797,1146396,1419993
25811,1146429,1419999
25833,1146078,1419144
25848,1146042,1419092
25862,1146058,1419039
25877,1146038,1419040
25892,1146018,1419022
25907,1145998,1419004
25922,1145964,1418885
25937,1145985,1418933
25951,1145985,1418929
25972,1146010,1418945
28354,1145912,1418964
28368,1145921,1419012
28382,1145906,1418988
28397,1145973,1419202
28412,1145974,1419202
28426,1145997,1419201
28440,1145979,1419223
28455,1146005,1419209
28481,1146034,1419258
28495,1145975,1419256
28510,1146065,1419434
28526,1146063,1419435
28542,1146093,1419418
28557,1146083,1419436
28572,1146083,1419456
28586,1146086,1419447
28600,1146169,1419646
28620,1146176,1419667
28636,1146160,1419679
28651,1146170,1419672
28666,1146179,1419702
28680,1146174,1419710
28696,1145885,1418935
28711,1145861,1418903
28724,1145852,1418874
28739,1145845,1418849
28761,1145828,1418786
29084,1145852,1418917
29099,1145886,1418969
29113,1145907,1418972
29127,1145908,1418941
29142,1145876,1418977
29156,1145917,1419002
29171,1145929,1419022
29187,1145920,1419001
29207,1145976,1419257
29223,1145999,1419239
29238,1146023,1419257
29252,1146011,1419247
29267,1146002,1419261
29284,1146004,1419274
29298,1146079,1419460
29313,1146122,1419481
29327,1146092,1419468
29349,1146109,1419491
29367,1146086,1419470
29382,1146105,1419475
29396,1146146,1419666
29414,1146194,1419650
29428,1146183,1419686
29443,1146171,1419694
29457,1146172,1419639
29478,1146192,1419710
29698,1145796,1418692
29713,1145783,1418709
29727,1145795,1418691
29742,1145796,1418701
29757,1145787,1418688
29772,1145785,1418660
29790,1145898,1418943
29805,1145893,1418927
29825,1145903,1418892
29841,1145911,1418936
29855,1145881,1418930
29870,1145887,1418948
29888,1145907,1418947
29903,1145887,1418925
29916,1145901,1418970
29931,1145901,1418937
29945,1145834,1418937
29966,1145934,1418924
30011,1145950,1419215
30026,1145997,1419217
30040,1146002,1419201
30055,1146014,1419229
30070,1145995,1419212
30086,1146048,1419222
30101,1146109,1419450
30114,1146107,1419482
30136,1146115,1419430
30150,1146098,1419483
30164,1146116,1419486
30180,1146116,1419486
30195,1146156,1419642
30210,1146197,1419668
30223,1146186,1419651
30238,1146183,1419662
30252,1146178,1419650
30311,1146262,1419884
30325,1146265,1419876
30341,1146283,1419845
30355,1146260,1419866
30371,1146256,1419882
30385,1145802,1418756
30400,1145802,1418738
30415,1145806,1418742
30436,1145767,1418715
30718,1145922,1419022
30733,1145968,1418996
30747,1145920,1419001
30762,1145907,1419001
30777,1145907,1419001
30791,1145961,1419176
30811,1146026,1419190
30829,1146015,1419203
30843,1145998,1419194
30857,1146006,1419215
30873,1146025,1419187
30888,1146106,1419462
30904,1146153,1419475
30920,1146113,1419486
30933,1146128,1419504
30955,1146113,1419498
30970,1146126,1419505
31010,1146183,1419668
31024,1146158,1419685
31039,1146210,1419684
31052,1146206,1419685
31067,1146195,1419680
31081,1146335,1419888
31095,1146229,1419907
31116,1146279,1419893
31336,1145859,1418836
31351,1145855,1418836
31365,1145856,1418841
31379,1145884,1418816
31394,1145942,1419011
31409,1145976,1419049
31425,1145967,1419031
31440,1145981,1419054
31461,1145933,1419092
31476,1145994,1419063
31490,1145930,1419022
31504,1145940,1419031
31519,1145943,1419013
31535,1145934,1419013
31549,1145930,1419026
31564,1145952,1419015
31578,1145974,1419096
32855,1145773,1418548
32869,1145826,1418711
32883,1145827,1418732
32899,1145795,1418727
32914,1145811,1418760
32928,1145834,1418741
32942,1145821,1418720
32959,1145794,1418741
32982,1145904,1418951
32998,1145916,1418950
33012,1145875,1418931
33026,1145934,1418946
33042,1145900,1418953
33057,1145918,1418949
33073,1145894,1418920
33087,1145904,1418883
33102,1145913,1418929
33120,1145907,1418946
33136,1145913,1418929
33155,1145925,1418947
33171,1145995,1419161
33185,1146009,1419200
33199,1146031,1419170
33213,1146022,1419171
33228,1146018,1419188
33242,1146010,1419182
33262,1146037,1419201
33284,1146109,1419448
33298,1146107,1419436
33312,1146104,1419385
33327,1146140,1419453
33342,1146140,1419462
33357,1146123,1419467
33376,1146187,1419632
33390,1146207,1419664
33412,1146203,1419642
33427,1146212,1419627
33441,1146212,1419693
33456,1146169,1419657
33471,1146268,1419833
33486,1146264,1419818
33499,1146250,1419835
33514,1146247,1419788
33528,1146251,1419770
33692,1145832,1418690
33708,1145845,1418717
33721,1145853,1418707
33736,1145816,1418669
33751,1145885,1418662
33766,1145916,1418889
33784,1145913,1418941
33798,1145941,1418913
33820,1145941,1418932
34109,1146119,1419438
34123,1146112,1419431
34138,1146140,1419454
34153,1146115,1419418
34168,1146211,1419653
34182,1146195,1419655
34198,1146222,1419657
34212,1146227,1419634
34232,1146219,1419673
34248,1146241,1419696
34262,1146301,1419904
34277,1146291,1419877
34292,1146298,1419879
34309,1146307,1419885
34324,1146265,1419862
34338,1146306,1419861
34351,1146284,1419868
34373,1145870,1418768
34401,1145816,1418718
34416,1145790,1418671
34430,1145825,1418663
34444,1145800,1418672
34459,1145823,1418612
34473,1145851,1418751
34487,1145855,1418768
34509,1145859,1418773
36362,1145960,1418990
36377,1145934,1418989
36391,1145987,1418986
36405,1145969,1419022
36420,1145971,1419032
36434,1145980,1419054
36450,1145947,1419042
36463,1146056,1419250
36487,1146079,1419252
36504,1146035,1419281
36519,1146068,1419280
36535,1146063,1419305
36550,1146144,1419477
36564,1146170,1419411
36579,1146136,1419484
36593,1146141,1419463
36607,1146147,1419476
36629,1146136,1419478
36663,1146160,1419530
36678,1146145,1419476
36692,1146138,1419464
36707,1146120,1419436
36722,1146108,1419391
36736,1146091,1419374
36757,1145672,1418286
36773,1145679,1418287
36787,1145672,1418286
36801,1145658,1418302
36815,1145671,1418300
36830,1145679,1418274
36845,1145651,1418303
36859,1145716,1418440
36874,1145739,1418458
36896,1145750,1418439
36911,1145725,1418440
36926,1145738,1418442
36940,1145742,1418462
36958,1145815,1418653
36974,1145821,1418673
36989,1145818,1418655
37003,1145813,1418657
37023,1145801,1418687
37075,1145822,1418643
37090,1145827,1418649
37105,1145813,1418659
37119,1145836,1418651
