ts,red_raw,ir_raw
99429,1152319,1423495
99592,1152428,1423778
99608,1152421,1423775
99622,1152454,1423752
99637,1152436,1423776
99652,1152461,1423788
99666,1152443,1423779
99681,1152413,1423754
99695,1152455,1423717
99709,1152393,1423698
99724,1152375,1423652
99738,1152381,1423620
99757,1152363,1423582
99774,1152344,1423569
99790,1152081,1422910
99805,1152098,1422869
99820,1152125,1422904
99833,1152093,1422904
99847,1152083,1422925
99861,1152076,1422913
99877,1152062,1422907
99893,1152133,1422981
99908,1152104,1422993
99921,1152096,1422990
99942,1152097,1422979
100106,1152245,1423232
100120,1152227,1423257
100135,1152201,1423248
100150,1152208,1423244
100165,1152205,1423248
100179,1152189,1423239
100194,1152261,1423434
100209,1152291,1423456
100223,1152270,1423423
100237,1152251,1423438
100251,1152292,1423457
100273,1152308,1423453
100288,1152381,1423687
100303,1152362,1423677
100317,1152368,1423655
100332,1152355,1423643
100346,1152375,1423695
100361,1152368,1423673
100375,1152424,1423696
100389,1152414,1423811
100407,1152437,1423830
100421,1152417,1423826
100442,1152423,1423863
100616,1152102,1422996
100630,1152113,1422969
100645,1152115,1422953
100660,1152083,1422979
100675,1152109,1422974
100690,1152116,1423058
100705,1152124,1423112
100719,1152136,1423072
100734,1152144,1423087
100747,1152139,1423091
100761,1152122,1423089
100784,1152159,1423152
100800,1152158,1423139
100815,1152155,1423149
100830,1152140,1423194
100845,1152161,1423179
100858,1152164,1423161
100872,1152180,1423238
100887,1152180,1423249
100901,1152188,1423237
100917,1152191,1423228
100930,1152173,1423244
100952,1152182,1423258
100967,1152179,1423276
100980,1152251,1423397
100994,1152215,1423394
101011,1152285,1423425
101026,1152225,1423421
101039,1152262,1423432
101053,1152260,1423433
101067,1152277,1423441
101081,1152339,1423621
101095,1152331,1423619
101110,1152345,1423602
101131,1152337,1423628
101169,1152346,1423612
101183,1152374,1423766
101198,1152403,1423735
101212,1152383,1423753
101228,1152373,1423746
101242,1152376,1423777
101256,1152356,1423770
101271,1152383,1423760
101285,1152435,1423864
101299,1152391,1423859
101319,1152411,1423881
101537,1152041,1422927
101551,1152030,1422924
101565,1152078,1422948
101581,1152065,1422975
101596,1152065,1422954
101612,1152054,1422993
101627,1152056,1422959
101642,1152070,1422984
101655,1152063,1422965
101670,1152062,1422987
101683,1152111,1423077
101704,1152116,1423085
101720,1152163,1423081
101735,1152130,1423076
101749,1152087,1423076
101765,1152115,1423072
101780,1152143,1423083
101793,1152154,1423134
101807,1152103,1423109
101823,1152130,1423125
101837,1152129,1423154
101852,1152098,1423150
101873,1152215,1423355
102051,1152288,1423532
102066,1152264,1423517
102080,1152333,1423685
102094,1152351,1423663
102109,1152324,1423679
102124,1152325,1423680
102139,1152321,1423680
102154,1152299,1423695
102168,1152338,1423730
102182,1152386,1423863
102196,1152362,1423843
102215,1152399,1423862
102232,1152401,1423852
102247,1152393,1423849
102263,1152373,1423843
102277,1152366,1423777
102291,1152348,1423745
102305,1152343,1423726
102319,1152368,1423694
102335,1152320,1423678
102350,1152302,1423631
102364,1152302,1423615
102384,1152046,1422947
102562,1152018,1422912
102576,1152017,1422863
102590,1152016,1422861
102606,1152006,1422838
