pc_time_ms,emg_raw,emg_clean,emg_envelope,emg_ts,ppg_red_raw,ppg_ir_raw,ppg_red,ppg_ir,ppg_ts
104,0,0.0,0.0,49272,740,665,-2.15,2.28,0
309,0,0.0,0.0,49385,741,662,-1.11,-0.82,0
309,0,0.0,0.0,49502,746,663,2.33,0.72,0
513,0,0.0,0.0,49615,738,663,-2.87,-0.53,0
514,0,0.0,0.0,49728,738,668,-2.41,2.11,0
621,0,0.0,0.0,49841,741,665,-0.13,1.28,0
622,0,0.0,0.0,49954,756,664,9.49,0.76,0
924,0,0.0,0.0,50067,742,671,-0.94,4.6,0
924,0,0.0,0.0,50181,742,660,-2.14,-3.34,0
1030,0,0.0,0.0,50293,747,663,2.47,-0.69,0
1333,0,0.0,0.0,50406,741,663,-1.76,-0.68,0
1333,0,0.0,0.0,50524,743,666,-0.84,0.51,0
1487,0,0.0,0.0,50637,748,665,3.75,0.44,0
1488,0,0.0,0.0,50750,746,664,2.41,0.36,0
1645,0,0.0,0.0,50863,741,667,-3.44,2.73,0
1646,0,0.0,0.0,50976,738,662,-3.39,-1.55,0
1947,0,0.0,0.0,51090,753,661,7.15,-1.33,0
1948,0,0.0,0.0,51205,745,671,0.08,4.89,0
2055,0,0.0,0.0,51317,741,665,-2.43,-1.42,0
