ecg_ts,ecg,bpm,leadOff
78202,0,0,0
78214,1867,0,0
78221,0,0,0
78227,606,0,0
78233,1828,0,0
78239,0,0,1
78245,0,0,0
78251,3824,0,0
80014,0,0,1
80021,0,0,0
80028,2768,0,0
80037,0,0,0
80044,0,0,0
80050,2539,0,0
80055,0,0,1
80068,4095,0,0
81519,0,0,0
81525,816,0,0
81531,1985,115,0
81536,0,0,1
81543,0,0,0
81549,3523,0,0
81554,0,0,1
81568,4095,0,0
81574,0,0,1
81581,0,0,0
81587,4095,0,0
81592,0,0,1
81599,0,0,0
81605,628,0,0
81618,0,0,0
81624,659,0,0
81630,1712,0,0
81635,0,0,1
81642,0,0,0
81648,3495,0,0
81653,0,0,1
81669,3460,0,0
81677,0,0,1
81683,0,0,0
81690,1491,0,0
81695,0,0,1
81702,0,0,0
81708,3363,0,0
81713,0,0,1
81726,736,0,0
81732,0,0,1
81739,0,0,0
81745,593,0,0
81751,1506,0,0
81756,0,0,1
81763,0,0,0
81774,0,0,1
81785,999,0,0
81791,1696,0,0
81797,0,0,1
81803,0,0,0
81809,3419,0,0
81814,0,0,1
81826,906,0,0
81832,0,0,1
81839,0,0,0
81845,511,0,0
81851,1041,0,0
81857,0,0,1
81863,0,0,0
81869,1306,0,0
81884,1072,0,0
81891,0,0,1
81897,0,0,1
81903,0,0,0
81909,3387,0,0
81914,0,0,1
81921,0,0,0
81933,0,0,1
81940,0,0,0
81946,4095,0,0
81952,1535,0,0
81958,0,0,0
81964,878,0,0
81970,1328,0,0
81981,0,0,0
81988,3402,0,0
81993,0,0,1
82000,0,0,0
82006,4095,0,0
82012,0,0,1
82019,0,0,0
82032,0,0,1
82039,0,0,0
82045,142,0,0
82051,0,0,0
82057,0,0,1
82063,0,0,0
82069,1755,0,0
82083,0,0,0
82090,867,113,0
82095,0,0,1
82102,0,0,0
82108,4095,0,0
82113,0,0,1
82120,0,0,0
82131,0,0,1
82138,0,0,0
82144,1168,0,0
82150,1215,0,0
82155,0,0,1
82162,0,0,0
82168,3090,0,0
82179,0,0,0
82190,1265,0,0
82197,0,0,1
82203,0,0,0
82209,3319,0,0
82214,0,0,1
82221,0,0,0
82227,4095,0,0
82240,0,0,0
82247,4095,0,0
82253,0,0,1
82259,0,0,0
82265,1041,0,0
82271,850,0,0
82277,0,0,0
82293,1237,0,0
82299,0,0,0
82305,1419,0,0
82311,989,0,0
82317,0,0,1
82323,0,0,0
82333,1021,0,0
82340,0,0,0
82346,4095,0,0
82352,0,0,1
82358,0,0,0
82364,1391,0,0
82370,1014,0,0
82375,0,0,1
82390,3062,0,0
82397,0,0,1
82403,0,0,0
82409,3251,0,0
82414,0,0,1
82421,0,0,0
82427,4095,0,0
82444,2101,0,0
82452,1124,0,0
82458,0,0,0
82464,0,0,0
82470,733,0,0
82475,0,0,1
82482,0,0,0
82490,2981,0,0
82501,0,0,0
82508,3163,0,0
82513,0,0,1
82520,0,0,0
82526,4095,0,0
82532,0,0,1
82538,0,0,0
82549,2928,0,0
82555,0,0,1
82562,0,0,0
82568,3006,0,0
82573,0,0,1
82580,0,0,0
82586,4095,0,0
82601,0,0,0
82608,4095,114,0
82613,0,0,1
82620,0,0,0
82626,4095,0,0
82631,0,0,1
82638,0,0,0
82649,880,0,0
82656,0,0,1
82662,0,0,0
82668,4095,0,0
82673,0,0,1
82680,0,0,0
82686,4095,0,0
82698,0,0,0
82706,2079,0,0
82712,0,0,1
82718,0,0,0
82724,1968,0,0
82730,656,0,0
82735,0,0,1
82742,0,0,0
82755,0,0,1
82762,0,0,0
82769,2815,0,0
82774,0,0,1
82781,0,0,0
82787,2431,0,0
82796,0,0,1
82809,623,0,0
82815,0,0,1
82822,0,0,0
82828,4095,0,0
82833,0,0,1
82840,0,0,0
82851,717,0,0
82858,0,0,0
82864,0,0,0
82870,562,0,0
82875,0,0,1
82882,0,0,0
82888,2486,0,0
82895,0,0,1
82910,639,0,0
82917,0,0,1
82923,0,0,0
82929,2666,0,0
82934,0,0,1
82941,0,0,0
82947,4095,0,0
82952,0,0,1
82963,0,0,0
82970,633,0,0
82975,0,0,1
82982,0,0,0
82988,2655,0,0
82994,0,0,1
83001,0,0,0
83015,0,0,1
83022,0,0,0
83029,2762,0,0
83034,0,0,1
83041,0,0,0
83047,4095,0,0
83052,0,0,1
83059,0,0,0
83071,511,0,0
83078,0,0,0
83084,0,0,0
83090,542,0,0
83096,0,0,0
83104,2231,0,0
83111,272,0,0
83124,2798,0,0
83131,433,0,0
83137,0,0,1
83143,0,0,0
83149,2608,0,0
83154,0,0,1
83161,0,0,0
83173,0,0,1
83180,0,0,0
83186,4095,0,0
83191,0,0,1
83198,0,0,0
83207,2704,0,0
83219,0,0,0
83226,4095,0,0
83231,381,0,0
83238,0,0,0
83244,0,0,0
83250,167,0,0
83257,0,0,0
83269,4095,0,0
83276,0,0,0
83282,0,0,0
83288,2619,0,0
83293,0,0,1
83300,0,0,0
