red_raw,red_final (Filtered),ir_raw,ir_final (Filtered)
589816,-262.88,583360,-189.63
589640,-360.24,583173,-301.64
589635,-357.65,583172,-304.97
589644,-320.73,583175,-278.03
589652,-278.97,583171,-250.5
589660,-239.49,583190,-209.62
589780,-128.61,583314,-98.19
589784,-87.27,583311,-63.97
589857,-20.31,583402,11.28
589852,-5.24,583409,33.94
589931,52.17,583480,84.57
589936,65.52,583489,96.23
589936,63.38,583497,96.42
589932,54.81,583485,80.2
589861,0.2,583430,32.31
589863,-12.18,583441,24.98
589774,-74.11,583364,-30.79
589770,-86.12,583367,-40.17
589748,-96.67,583353,-48.55
589739,-97.22,583360,-41.87
589698,-116.75,583344,-47.39
589704,-107.81,583349,-41.47
589716,-88.4,583361,-28.38
590096,179.73,583721,219.68
590110,241.31,583728,268.09
590050,195.99,583681,225.95
590040,161.31,583681,196.28
589574,-174.7,583335,-60.65
589569,-247.65,583331,-122.71
589162,-519.07,582993,-355.43
589149,-552.02,582996,-381.82
588840,-721.71,582720,-541.96
588822,-715.42,582705,-546.45
588624,-786.71,582505,-636.06
588620,-740.83,582509,-602.12
588340,-855.26,582298,-684.73
588329,-819.1,582301,-645.66
588332,-738.81,582300,-581.97
588362,-636.04,582338,-491.19
588355,-561.2,582343,-423.54
588376,-480.89,582333,-377.51
588372,-422.83,582323,-340.79
588823,-68.95,582709,-42.95
588841,37.82,582712,37.43
589403,439.74,583213,391.69
589425,518.32,583241,466.34
589764,722.47,583528,638.95
589750,703.18,583521,623.53
589626,555.54,583393,480.83
589605,457.43,583395,405.76
589554,359.84,583376,339.86
589572,317.03,583363,285.87
589571,278.83,583368,251.54
589517,209.31,583320,189.31
589518,174.8,583321,158.39
589586,197.23,583394,186.39
589582,183.47,583384,170.92
589709,249.99,583518,242.81
589708,244.87,583528,247.08
589831,305.73,583631,296.6
589830,294.52,583637,288.05
589834,269.53,583638,262.18
589821,231.73,583637,232.88
589752,156.17,583588,172.84
589735,112.61,583575,134.46
589746,99.56,583564,106.08
589661,30.63,583464,22.68
589643,-1.38,583453,-7.57
589551,-71.21,583365,-73.79
589561,-75.97,583354,-91.53
589741,50.4,583524,26.18
589750,83.93,583531,58.23
589781,106.12,583562,82.24
589774,97.97,583559,79.3
589708,43.24,583491,26.09
589710,27.23,583493,11.92
589596,-55.76,583379,-69.44
589584,-80.02,583381,-82.66
589620,-55.14,583433,-43.94
589630,-37.51,583427,-34.56
589680,3.72,583475,3.05
589664,2.98,583479,14.95
589680,13.34,583474,13.31
589747,59.96,583537,54.14
589749,67.94,583534,57.83
589722,46.03,583515,41.14
589719,34.59,583510,30.13
589689,8.62,583489,10.66
589691,2.71,583488,4.26
589668,-14.5,583448,-24.67
589658,-24.33,583445,-31.86
589662,-22.03,583399,-61.89
589653,-25.67,583417,-52.1
589745,37.53,583481,-2.2
589734,42.78,583473,5.17
589852,119.89,583565,68.47
589840,121.11,583579,88.0
589858,123.28,583595,96.24
589825,91.17,583560,66.59
589815,68.71,583551,47.52
589691,-26.21,583427,-44.79
589672,-60.63,583429,-62.87
589524,-163.76,583282,-160.99
589524,-175.8,583275,-176.73
589568,-134.34,583343,-119.98
589566,-113.94,583337,-99.63
589598,-77.69,583371,-63.23
589589,-68.06,583358,-57.52
589506,-115.76,583290,-97.02
589507,-117.25,583292,-97.36
589492,-117.84,583279,-97.96
589477,-118.1,583292,-81.02
589478,-107.49,583276,-80.74
589547,-49.37,583336,-33.43
589550,-28.6,583335,-19.4
589492,-59.99,583254,-68.72
589489,-64.85,583253,-75.94
589399,-121.19,583168,-128.63
589384,-135.16,583151,-142.4
589504,-46.43,583261,-59.81
589519,-10.16,583263,-32.66
589753,157.33,583472,117.59
589747,182.0,583479,150.13
589655,110.88,583384,81.64
589663,89.08,583384,57.51
589576,17.5,583302,-8.54
589580,0.73,583298,-27.13
589575,-6.9,583289,-35.54
589812,151.3,583519,120.21
589833,192.38,583539,162.59
590146,397.15,583841,362.82
590143,412.92,583839,381.01
590094,349.03,583802,328.47
590100,307.52,583806,290.28
590062,245.58,583796,249.38
590055,204.58,583778,205.95
590065,183.72,583788,184.4
590054,155.54,583785,161.42
590074,148.83,583819,164.86
590077,136.58,583819,151.81
590065,113.88,583819,135.68
590147,153.76,583842,135.65
