red_raw,red_final (Filtered),ir_raw,ir_final (Filtered)
763,0.0,628,0.0
733,-20.19,612,-10.77
744,-16.15,620,-7.18
725,-26.56,605,-15.77
734,-20.87,607,-15.25
728,-21.72,605,-15.17
722,-24.14,594,-21.28
732,-15.97,603,-14.95
718,-22.0,595,-17.49
715,-23.67,599,-13.95
716,-21.42,581,-24.01
722,-15.01,586,-21.13
695,-30.3,574,-26.71
701,-27.54,576,-24.5
690,-31.93,553,-37.36
675,-40.43,551,-38.78
653,-53.96,510,-63.46
640,-61.55,511,-63.62
640,-58.25,513,-56.94
619,-66.64,492,-64.59
625,-59.08,489,-63.07
617,-57.57,482,-62.07
615,-53.68,483,-55.91
601,-57.59,476,-54.35
602,-53.03,476,-49.36
596,-51.45,472,-46.64
602,-42.66,469,-44.03
592,-43.59,451,-51.77
583,-46.2,460,-43.29
571,-51.02,423,-62.4
567,-50.62,435,-53.85
557,-52.97,429,-51.2
564,-44.38,420,-52.26
572,-33.08,429,-42.06
561,-34.86,414,-46.04
555,-36.4,434,-29.69
552,-35.73,422,-31.15
546,-36.58,421,-29.56
527,-46.5,413,-32.05
541,-35.63,410,-31.99
529,-37.97,400,-36.0
528,-36.03,411,-26.56
522,-36.53,394,-33.39
517,-36.94,397,-30.27
506,-41.33,401,-24.23
505,-39.61,385,-31.44
499,-39.87,380,-33.96
490,-42.63,382,-30.38
480,-46.45,360,-41.72
478,-44.83,372,-32.97
475,-42.66,370,-29.33
463,-46.58,357,-34.69
464,-42.96,365,-27.72
461,-40.44,358,-28.34
462,-35.72,364,-22.06
459,-33.54,369,-15.26
458,-30.83,363,-16.3
456,-28.89,358,-18.55
459,-23.94,361,-15.53
462,-18.66,366,-10.09
462,-15.76,367,-7.2
453,-19.76,359,-11.25
466,-10.34,360,-10.65
464,-8.45,363,-7.58
461,-9.28,370,-1.45
455,-12.74,365,-3.16
458,-10.52,364,-3.99
457,-9.74,361,-5.88
462,-5.36,362,-5.19
460,-5.15,364,-3.23
453,-9.38,355,-8.52
467,-0.22,365,-2.4
459,-3.29,364,-1.33
459,-3.78,364,-0.95
465,0.45,355,-6.84
466,2.15,360,-4.37
459,-2.32,368,2.0
457,-4.59,363,0.07
462,-1.41,381,11.69
472,6.24,365,2.85
467,4.27,371,4.43
520,39.09,403,26.0
517,42.51,397,25.17
539,54.59,420,38.32
533,48.97,422,39.73
536,45.44,417,33.36
543,45.43,416,28.27
534,35.53,428,32.68
544,36.77,428,31.03
550,38.02,437,34.05
547,33.1,435,30.59
540,24.36,426,21.08
547,24.82,427,17.58
542,19.47,440,23.97
557,26.58,441,24.22
544,17.37,436,18.87
548,16.28,438,17.28
540,9.25,436,14.08
550,13.43,431,8.72
549,12.68,439,12.02
557,16.8,439,11.83
548,10.36,438,10.11
550,9.21,443,12.19
550,8.15,442,11.01
559,13.25,446,12.48
549,6.68,443,9.77
565,15.24,454,15.67
565,16.1,455,16.5
562,12.93,456,15.99
563,11.72,455,13.84
561,9.08,452,10.11
562,8.32,454,9.67
564,8.78,450,6.04
567,10.17,452,5.97
575,15.04,453,6.12
571,12.3,456,7.66
569,9.23,457,8.07
570,8.35,453,4.8
570,7.43,457,6.27
570,6.57,459,7.45
571,6.47,460,7.79
571,5.9,458,5.88
568,3.24,458,4.9
565,0.28,446,-3.84
558,-5.2,456,1.02
561,-4.12,447,-3.9
570,2.56,451,-2.11
559,-3.38,456,1.88
575,6.18,454,1.37
567,2.67,459,4.5
569,2.91,453,0.86
578,8.79,445,-5.51
570,4.13,458,2.11
570,2.62,461,5.86
566,-0.68,456,2.94
559,-6.16,460,4.66
568,-0.96,450,-2.04
567,-0.24,459,2.51
555,-8.12,459,3.44
573,2.7,460,4.06
574,5.87,455,0.5
568,2.12,466,6.97
574,5.05,453,-0.74
561,-3.4,450,-4.64
566,-1.87,452,-3.88
561,-4.69,451,-4.03
567,-0.96,451,-3.73
561,-3.98,454,-1.32
