emg_ts,raw,clean,envelope
46103,0,0.0,0.0
46118,0,0.0,0.0
46132,4095,4095.0,4095.0
46146,0,0.0,0.0
46160,0,0.0,0.0
46175,0,0.0,0.0
46189,0,0.0,0.0
46203,0,0.0,0.0
46218,0,0.0,0.0
46233,4095,4095.0,4095.0
46247,0,0.0,0.0
46261,0,0.0,0.0
46275,0,0.0,0.0
46289,0,0.0,0.0
46309,0,0.0,0.0
46324,0,0.0,0.0
46338,0,0.0,0.0
46352,4095,4095.0,4095.0
46367,0,0.0,0.0
46381,0,0.0,0.0
46525,0,0.0,0.0
46540,0,0.0,0.0
46554,4095,4095.0,4095.0
46569,0,0.0,0.0
46583,0,0.0,0.0
46597,0,0.0,0.0
46611,4095,4095.0,4095.0
46626,0,0.0,0.0
46640,0,0.0,0.0
46660,0,0.0,0.0
46675,0,0.0,0.0
46689,0,0.0,0.0
46703,0,0.0,0.0
46717,0,0.0,0.0
46732,4095,4095.0,4095.0
46747,0,0.0,0.0
46761,0,0.0,0.0
46775,0,0.0,0.0
46794,4095,4095.0,4095.0
46822,0,0.0,0.0
46837,0,0.0,0.0
46851,4095,4095.0,4095.0
46865,0,0.0,0.0
46880,0,0.0,0.0
46894,4095,4095.0,4095.0
46908,0,0.0,0.0
46923,0,0.0,0.0
46938,0,0.0,0.0
46957,0,0.0,0.0
47139,0,0.0,0.0
47153,4095,4095.0,4095.0
47167,0,0.0,0.0
47181,0,0.0,0.0
47196,0,0.0,0.0
47210,0,0.0,0.0
47224,0,0.0,0.0
47239,0,0.0,0.0
47253,4095,4095.0,4095.0
47273,4095,4095.0,4095.0
47288,0,0.0,0.0
47302,0,0.0,0.0
47317,0,0.0,0.0
47331,4095,4095.0,4095.0
47346,0,0.0,0.0
47360,0,0.0,0.0
47374,4095,4095.0,4095.0
47388,0,0.0,0.0
47550,0,0.0,0.0
47564,0,0.0,0.0
47578,0,0.0,0.0
47592,4095,4095.0,4095.0
47608,0,0.0,0.0
47622,0,0.0,0.0
47636,0,0.0,0.0
47651,4095,4095.0,4095.0
47665,0,0.0,0.0
47685,0,0.0,0.0
47700,0,0.0,0.0
47714,4095,4095.0,4095.0
47728,0,0.0,0.0
47742,0,0.0,0.0
47757,0,0.0,0.0
47771,4095,4095.0,4095.0
47785,0,0.0,0.0
