ts,red_raw,ir_raw
24454,1151814,1160693
24495,1151791,1160688
24537,1151743,1160428
24582,1151701,1160417
24623,1151390,1159622
24665,1151395,1159629
24708,1151422,1159657
24750,1151456,1159664
24793,1151445,1159683
24834,1151534,1159966
24876,1151541,1159979
24918,1151559,1160089
24959,1151585,1160089
25002,1151580,1160166
25043,1151595,1160218
25086,1151722,1160444
25128,1151763,1160655
25170,1151758,1160670
25212,1151850,1160937
25256,1151848,1160925
25299,1151862,1160893
25340,1151656,1160382
25381,1151635,1160323
25425,1151460,1159871
25467,1151476,1159812
25509,1151501,1159982
25550,1151501,1159987
25593,1151608,1160289
25635,1151617,1160300
25677,1151621,1160316
25720,1151609,1160299
25764,1151647,1160440
25806,1151707,1160675
25848,1151708,1160647
25889,1151702,1160681
25931,1151773,1160858
25980,1151790,1160861
26024,1151851,1161061
26065,1151860,1161054
26107,1151583,1160270
26150,1151553,1160239
26192,1151468,1159983
26234,1151442,1159978
26275,1151501,1160128
26318,1151516,1160109
26359,1151604,1160369
26402,1151597,1160389
26445,1151567,1160331
26487,1151614,1160507
26530,1151628,1160464
26571,1151633,1160532
26613,1151681,1160688
26655,1151676,1160720
26698,1151756,1160919
26740,1151771,1160932
26785,1151738,1160904
26828,1151751,1160881
26869,1151397,1160027
26911,1151403,1160022
26955,1151426,1160073
26998,1151414,1160071
27039,1151551,1160332
27081,1151533,1160314
27124,1151615,1160535
27166,1151618,1160523
27209,1151560,1160475
27251,1151562,1160512
27292,1151609,1160639
27334,1151626,1160637
27377,1151657,1160822
27419,1151639,1160815
27464,1151690,1160927
27506,1151704,1160929
27550,1151711,1161030
27593,1151710,1161032
27635,1151380,1160196
27677,1151365,1160171
27721,1151213,1159909
27763,1151267,1159926
27810,1151288,1160030
27852,1151297,1160038
27894,1151367,1160304
27936,1151378,1160291
27979,1151362,1160235
28022,1151381,1160233
28066,1151447,1160488
28108,1151436,1160487
28149,1151512,1160713
28192,1151557,1160753
28236,1151572,1160862
28278,1151569,1160857
28319,1151568,1160825
28364,1151581,1160929
28406,1151415,1160517
28449,1151401,1160499
28491,1151149,1159865
28535,1151169,1159867
28585,1151142,1159783
28628,1151139,1159785
28670,1151212,1159980
28713,1151208,1159988
28755,1151236,1160098
28806,1151262,1160173
28849,1151286,1160177
28892,1151341,1160395
28933,1151336,1160371
28978,1151349,1160391
29021,1151419,1160580
29064,1151404,1160574
29107,1151457,1160756
29156,1151473,1160755
29199,1151329,1160449
29242,1151336,1160422
29286,1151096,1159854
29328,1151087,1159802
29370,1151086,1159809
29413,1151182,1160054
29455,1151178,1160055
29497,1151199,1160027
29538,1151196,1160073
29581,1151192,1160108
29624,1151249,1160266
29666,1151269,1160273
29708,1151322,1160492
29749,1151322,1160494
29792,1151378,1160652
29834,1151391,1160638
29876,1151373,1160622
29918,1151374,1160605
29961,1151054,1159786
30003,1150927,1159439
30044,1150947,1159441
30087,1150952,1159507
30130,1150941,1159483
30172,1150935,1159509
30214,1151027,1159708
30255,1151027,1159684
30297,1151017,1159705
30340,1151034,1159705
30384,1151103,1159927
30425,1151116,1159927
30467,1151176,1160162
30508,1151207,1160160
30551,1151266,1160375
30593,1151283,1160416
30635,1151191,1160152
30677,1151185,1160114
30720,1150958,1159512
30763,1150977,1159497
30804,1150984,1159561
30847,1150969,1159562
30889,1151070,1159758
30932,1151066,1159760
30973,1151070,1159804
31015,1151060,1159788
31057,1151103,1159904
31099,1151115,1159939
31141,1151203,1160126
31182,1151180,1160095
31224,1151276,1160324
31267,1151252,1160334
31310,1151252,1160345
31353,1151325,1160507
31394,1151340,1160491
31436,1151163,1160016
31479,1151130,1160017
31523,1150903,1159387
31565,1150947,1159485
31613,1150970,1159456
31656,1151080,1159791
31697,1151080,1159805
31741,1151141,1159924
31784,1151127,1159912
31826,1151162,1160002
31868,1151171,1159971
31913,1151214,1160183
31957,1151276,1160203
31999,1151254,1160194
32042,1151306,1160405
32084,1151309,1160402
32129,1151379,1160617
32173,1151296,1160333
32215,1151228,1160306
32260,1151017,1159623
32302,1151023,1159629
32343,1151035,1159745
32386,1151019,1159703
32428,1151060,1159747
32471,1151054,1159764
32512,1151061,1159747
32553,1151097,1159829
32596,1151083,1159828
32639,1151189,1160066
32682,1151164,1160067
32724,1151256,1160297
32767,1151332,1160479
32810,1151343,1160496
32852,1151367,1160634
32895,1151368,1160634
32938,1151207,1160085
32981,1151187,1160061
33024,1150938,1159426
33066,1150920,1159407
33109,1150932,1159425
33151,1150900,1159440
33193,1150931,1159425
33234,1151010,1159648
33279,1151014,1159637
33321,1151059,1159712
33364,1151037,1159785
33405,1151061,1159768
33450,1151087,1159842
33499,1151082,1159881
33540,1151151,1160054
33582,1151160,1160072
33625,1151216,1160219
33667,1151225,1160258
33710,1151156,1160121
33751,1151166,1160103
33796,1151150,1160069
33838,1150812,1159231
33880,1150830,1159178
33923,1150769,1159105
33965,1150890,1159371
34008,1150895,1159360
34048,1150960,1159563
34091,1150970,1159574
