pc_time_ms,esp_time_ms,ecg_adc,lead_off
1331,411717,1839,0
1331,411721,1818,0
1331,411725,1776,0
1331,411729,1802,0
1331,411733,1850,0
1331,411737,1904,0
1331,411741,1930,0
1332,411745,1902,0
1332,411749,1844,0
1332,411753,1840,0
1332,411757,1834,0
1332,411761,1811,0
1332,411765,1767,0
1332,411769,1735,0
1332,411773,1691,0
1332,411777,1611,0
1387,411781,1520,0
1388,411789,1481,0
1388,411793,1473,0
1388,411797,1362,0
1388,411801,1264,0
1388,411805,1243,0
1388,411809,1297,0
1388,411813,1310,0
1388,411817,1233,0
1388,411821,1175,0
1388,411825,1200,0
1388,411829,1264,0
1388,411833,1307,0
1388,411837,1306,0
1504,411842,1233,0
1504,411847,1233,0
1504,411851,1321,0
1504,411855,1360,0
1504,411859,1357,0
1504,411863,1331,0
1504,411867,1289,0
1504,411871,1290,0
1504,411875,1298,0
1504,411879,1277,0
1504,411883,1274,0
1504,411887,1322,0
1504,411891,1379,0
1504,411895,1410,0
1504,411899,1385,0
1504,411903,1299,0
1504,411907,1265,0
1504,411911,1314,0
1504,411915,1382,0
1505,411919,1392,0
1505,411923,1333,0
1505,411927,1267,0
1505,411931,1284,0
1505,411935,1344,0
1505,411939,1407,0
1505,411943,1387,0
1505,411947,1368,0
1505,411951,1393,0
1557,411955,1410,0
1558,411963,1291,0
1558,411967,1269,0
1558,411971,1346,0
1558,411975,1395,0
1558,411979,1390,0
1558,411983,1324,0
1558,411987,1306,0
1558,411991,1377,0
1558,411995,1429,0
1558,411999,1442,0
1558,412003,1395,0
1558,412007,1369,0
1659,412011,1397,0
1659,412016,1426,0
1659,412020,1419,0
1660,412024,1393,0
1660,412028,1409,0
1660,412032,1484,0
1660,412036,1535,0
1660,412040,1574,0
1660,412044,1568,0
1660,412048,1586,0
1660,412052,1587,0
1660,412056,1559,0
1660,412060,1526,0
1660,412064,1535,0
1660,412068,1600,0
1660,412072,1679,0
1660,412076,1703,0
1660,412080,1622,0
1660,412084,1563,0
1660,412088,1595,0
1660,412092,1616,0
1660,412096,1626,0
1660,412100,1595,0
1660,412104,1584,0
1660,412108,1582,0
1714,412112,1622,0
1714,412119,1616,0
1714,412123,1535,0
1714,412127,1535,0
1714,412131,1600,0
1714,412135,1616,0
1714,412139,1616,0
1714,412143,1584,0
1714,412147,1579,0
1714,412151,1610,0
1714,412155,1615,0
1714,412159,1596,0
1714,412163,1586,0
1831,412167,1605,0
1831,412171,1648,0
1831,412175,1678,0
1831,412179,1701,0
1831,412183,1756,0
1831,412187,1856,0
1831,412191,1984,0
1831,412195,2186,0
1831,412199,2448,0
1831,412203,2704,0
1831,412207,2919,0
1831,412211,3024,0
1832,412215,2905,0
1832,412219,2432,0
1832,412223,1792,0
1832,412227,1294,0
1832,412231,1149,0
1832,412235,1222,0
1832,412239,1347,0
1832,412243,1426,0
1832,412247,1494,0
1832,412251,1575,0
1832,412255,1635,0
1832,412259,1714,0
1832,412263,1792,0
1832,412267,1837,0
1832,412271,1859,0
1832,412275,1867,0
1883,412279,1871,0
1883,412285,1850,0
1883,412289,1838,0
1883,412293,1863,0
1883,412297,1859,0
1883,412301,1872,0
1883,412305,1900,0
1883,412309,1961,0
1883,412313,1954,0
1884,412317,1926,0
1884,412321,1886,0
1884,412325,1883,0
1884,412329,1926,0
1884,412333,1998,0
1999,412337,1993,0
1999,412342,1936,0
1999,412346,1910,0
1999,412350,1979,0
1999,412354,2032,0
1999,412358,2031,0
1999,412362,1985,0
1999,412366,2003,0
2000,412370,2078,0
2000,412374,2110,0
2000,412378,2085,0
2001,412382,2078,0
2001,412386,2126,0
2001,412390,2153,0
2002,412394,2139,0
2002,412398,2128,0
2002,412402,2141,0
2003,412406,2192,0
2003,412410,2240,0
2003,412414,2257,0
2004,412418,2228,0
2004,412422,2219,0
2004,412426,2237,0
2004,412430,2267,0
2005,412434,2293,0
2005,412438,2250,0
2005,412442,2172,0
2005,412446,2100,0
2070,412450,2094,0
2089,412458,2059,0
2089,412462,1974,0
2089,412466,1952,0
2089,412470,1950,0
2089,412474,1935,0
2089,412478,1908,0
2089,412482,1882,0
2089,412486,1887,0
2089,412490,1924,0
2089,412494,1939,0
2089,412498,1920,0
2089,412502,1875,0
2089,412506,1879,0
2090,412510,1898,0
2090,412514,1931,0
2090,412518,1904,0
2118,412522,1885,0
2119,412528,1913,0
2119,412532,1927,0
2119,412536,1929,0
2119,412540,1923,0
2119,412544,1894,0
2119,412548,1904,0
2119,412552,1954,0
2119,412556,1950,0
2119,412560,1933,0
2119,412564,1905,0
2120,412568,1903,0
2234,412572,1921,0
2234,412577,1957,0
2234,412581,1939,0
2234,412585,1935,0
2235,412589,1957,0
2235,412593,1986,0
2235,412597,1953,0
2235,412601,1907,0
2235,412605,1906,0
2235,412609,1958,0
2235,412613,2001,0
2235,412617,1973,0
2236,412621,1896,0
2236,412625,1859,0
2236,412629,1911,0
2236,412633,2009,0
2236,412637,2028,0
2236,412641,1955,0
2236,412645,1925,0
2236,412649,1977,0
2236,412653,2013,0
2236,412657,2005,0
2236,412661,1963,0
2236,412665,1966,0
2236,412669,2009,0
2236,412673,2032,0
2236,412677,1997,0
2236,412681,1966,0
2291,412685,1962,0
2291,412693,2036,0
2291,412697,2013,0
2291,412701,1959,0
2291,412705,1966,0
2291,412709,2034,0
2291,412713,2125,0
2291,412717,2123,0
2292,412721,2062,0
2292,412725,1979,0
2292,412729,1959,0
2292,412733,1982,0
2292,412737,1995,0
2292,412741,2026,0
2408,412746,2097,0
2408,412751,2110,0
2408,412755,2018,0
2408,412759,1934,0
2408,412763,1872,0
2408,412767,1874,0
2408,412771,1949,0
2408,412775,1999,0
2408,412779,1962,0
2408,412783,1887,0
2408,412787,1861,0
2408,412791,1898,0
2408,412795,1941,0
2408,412799,1938,0
2408,412803,1904,0
2408,412807,1911,0
2408,412811,1939,0
2408,412815,1961,0
2408,412819,1947,0
2408,412823,1939,0
2408,412827,1947,0
2408,412831,1974,0
2408,412835,1952,0
2408,412839,1879,0
2408,412843,1840,0
2408,412847,1903,0
2409,412851,2026,0
2409,412855,2128,0
2459,412859,2158,0
2459,412865,2343,0
2459,412869,2657,0
2459,412873,3003,0
2459,412877,3238,0
2459,412881,3241,0
2459,412885,3094,0
2459,412889,2739,0
2459,412893,2187,0
2459,412897,1607,0
2459,412901,1239,0
2459,412905,1246,0
2459,412909,1459,0
2575,412913,1664,0
2575,412917,1710,0
2575,412921,1658,0
2575,412925,1655,0
2575,412929,1773,0
2575,412933,1901,0
2575,412937,1904,0
2575,412941,1838,0
2576,412945,1794,0
2576,412949,1845,0
2576,412953,1917,0
2576,412957,1920,0
2576,412961,1907,0
2576,412965,1894,0
2576,412969,1923,0
2576,412973,1937,0
2576,412977,1955,0
2576,412981,1952,0
2576,412985,1985,0
2576,412989,2026,0
2576,412993,2047,0
2576,412997,2032,0
2576,413001,2012,0
2576,413005,2033,0
2576,413009,2076,0
2576,413013,2086,0
2576,413017,2064,0
2576,413021,2034,0
2628,413025,2035,0
2628,413032,2112,0
2628,413037,2114,0
2628,413041,2081,0
2629,413045,2089,0
2629,413049,2128,0
2629,413053,2197,0
2629,413057,2213,0
2629,413061,2172,0
2629,413065,2138,0
2629,413069,2166,0
2629,413073,2238,0
2629,413077,2232,0
2629,413081,2179,0
2746,413085,2198,0
2747,413089,2267,0
2747,413093,2313,0
2747,413097,2318,0
2747,413101,2251,0
2747,413105,2203,0
2747,413109,2209,0
2747,413113,2178,0
2747,413117,2121,0
2747,413121,2053,0
2747,413125,2018,0
2747,413129,2028,0
2747,413133,2001,0
2747,413137,1904,0
2747,413141,1818,0
2747,413145,1840,0
2747,413149,1872,0
2747,413153,1888,0
2747,413157,1856,0
2747,413161,1791,0
2747,413165,1802,0
2747,413169,1850,0
2748,413173,1878,0
2748,413177,1842,0
2748,413181,1773,0
2748,413185,1791,0
2748,413189,1847,0
2748,413193,1919,0
2801,413197,1910,0
2802,413205,1792,0
2802,413209,1813,0
2802,413213,1841,0
2802,413217,1861,0
2802,413221,1821,0
2802,413225,1834,0
2802,413229,1932,0
2802,413233,1968,0
2802,413237,1888,0
2802,413241,1802,0
2802,413245,1774,0
2802,413249,1825,0
2889,413253,1872,0
2889,413259,1872,0
2889,413263,1836,0
2889,413267,1840,0
2889,413271,1906,0
2889,413275,1916,0
2889,413279,1855,0
2889,413283,1783,0
2889,413287,1799,0
2889,413291,1861,0
2889,413295,1891,0
2889,413299,1851,0
2889,413303,1795,0
2889,413307,1797,0
2889,413311,1822,0
2889,413315,1871,0
2889,413319,1859,0
2889,413323,1809,0
2889,413327,1790,0
2889,413331,1834,0
2889,413335,1838,0
2889,413339,1815,0
2940,413344,1782,0
2940,413348,1758,0
2940,413352,1765,0
2940,413356,1791,0
2940,413360,1772,0
2940,413364,1755,0
2940,413368,1804,0
2940,413372,1840,0
2940,413376,1840,0
2940,413380,1808,0
2941,413384,1806,0
2941,413388,1872,0
2941,413392,1954,0
