pc_time_ms,emg_raw,emg_clean,emg_envelope,emg_ts,ppg_red_raw,ppg_ir_raw,ppg_red,ppg_ir,ppg_ts
160,0,0.0,0.0,170974,755,672,2.32,1.11,0
270,0,0.0,0.0,171088,757,669,2.72,-1.1,0
270,0,0.0,0.0,171201,757,663,2.0,-5.27,0
569,0,0.0,0.0,171314,756,665,1.35,-3.31,0
569,0,0.0,0.0,171427,752,668,-0.98,-1.58,0
775,0,0.0,0.0,171540,760,679,4.71,5.64,0
775,0,0.0,0.0,171653,747,672,-4.6,1.89,0
980,0,0.0,0.0,171766,747,668,-3.95,-1.1,0
980,0,0.0,0.0,171880,754,682,2.33,8.52,0
1097,0,0.0,0.0,171992,745,669,-5.5,-1.18,0
1345,0,0.0,0.0,172105,753,671,-0.01,0.23,0
1346,0,0.0,0.0,172224,753,672,-0.71,1.04,0
1594,0,0.0,0.0,172337,754,668,1.01,-1.63,0
1594,0,0.0,0.0,172450,751,668,-1.43,-1.01,0
1699,0,0.0,0.0,172563,759,670,5.08,0.06,0
1699,0,0.0,0.0,172676,753,667,0.75,-1.89,0
1798,0,0.0,0.0,172789,752,668,-1.39,-1.37,0
2003,0,0.0,0.0,172906,744,669,-5.99,-0.25,0
2124,0,0.0,0.0,173019,760,673,4.43,2.66,0
2124,0,0.0,0.0,173133,750,672,-1.99,0.72,0
