pc_time_ms,emg_raw,emg_clean,emg_env,emg_ts,ppg_red_raw,ppg_ir_raw,ppg_red,ppg_ir,ppg_ts
261,0,0.0,0.0,10695,750,669,4.69,-2.35,10584
261,0,0.0,0.0,10748,738,666,-2.12,-4.98,10636
261,0,0.0,0.0,10801,737,673,-3.61,0.54,10689
467,0,0.0,0.0,10858,738,672,-3.81,0.26,10747
467,0,0.0,0.0,10911,748,679,3.2,4.87,10799
468,0,0.0,0.0,10963,743,670,1.41,-1.17,10851
468,0,0.0,0.0,11015,744,682,0.97,5.98,10903
778,0,0.0,0.0,11066,748,670,3.47,-0.81,10955
778,0,0.0,0.0,11119,739,669,-3.16,-2.99,11008
778,0,0.0,0.0,11172,744,667,-0.26,-4.73,11060
778,0,0.0,0.0,11223,740,668,-2.21,-4.09,11111
975,0,0.0,0.0,11274,742,668,-1.36,-2.03,11163
975,0,0.0,0.0,11327,747,674,2.91,0.88,11215
975,0,0.0,0.0,11379,740,674,-0.97,1.53,11267
975,0,0.0,0.0,11430,739,671,-2.54,-0.45,11318
1162,0,0.0,0.0,11481,731,672,-7.58,0.4,11370
1162,0,0.0,0.0,11534,738,669,-3.96,-2.34,11422
1162,0,0.0,0.0,11587,743,675,0.65,1.21,11475
1162,0,0.0,0.0,11639,744,669,2.44,-2.35,11527
1286,0,0.0,0.0,11691,739,667,-0.79,-4.08,11580
1287,0,0.0,0.0,11744,742,672,0.49,-0.81,11632
1287,0,0.0,0.0,11797,745,675,2.9,2.54,11685
1287,0,0.0,0.0,11849,751,669,7.07,-1.43,11737
1589,0,0.0,0.0,11900,741,663,0.78,-6.35,11789
1590,0,0.0,0.0,11953,744,673,0.48,1.68,11841
1590,0,0.0,0.0,12006,742,666,-0.06,-3.35,11894
1590,0,0.0,0.0,12058,743,666,0.48,-4.33,11946
1795,0,0.0,0.0,12109,739,673,-2.12,0.5,11998
1795,0,0.0,0.0,12162,756,675,9.29,3.17,12050
1795,0,0.0,0.0,12215,742,670,1.56,-0.09,12103
1796,0,0.0,0.0,12266,740,679,-1.86,5.16,12154
