pc_time_ms,emg_raw,emg_clean,emg_env,emg_ts,ppg_red_raw,ppg_ir_raw,ppg_red,ppg_ir,ppg_ts
86,0,0.0,0.0,171635,772,688,5.43,-6.61,171524
191,0,0.0,0.0,171739,761,693,-1.68,-3.09,171628
191,0,0.0,0.0,171842,768,702,1.83,3.08,171730
396,0,0.0,0.0,171944,765,695,-0.27,-2.65,171833
396,0,0.0,0.0,172047,762,699,-2.99,0.13,171935
601,0,0.0,0.0,172149,761,698,-3.31,-0.93,172038
601,0,0.0,0.0,172252,766,699,0.9,1.16,172140
806,0,0.0,0.0,172353,762,698,-0.7,-0.15,172242
806,0,0.0,0.0,172456,769,708,2.36,5.31,172344
1110,0,0.0,0.0,172557,767,699,1.25,-1.23,172446
1110,0,0.0,0.0,172660,770,700,2.75,-0.59,172548
1217,0,0.0,0.0,172761,767,699,1.03,-1.7,172650
1217,0,0.0,0.0,172864,764,692,-0.58,-6.52,172752
1421,0,0.0,0.0,172966,769,698,3.38,-0.23,172855
1421,0,0.0,0.0,173069,773,698,4.01,-0.68,172957
1626,0,0.0,0.0,173171,762,700,-3.73,0.58,173060
1626,0,0.0,0.0,173274,771,703,3.09,1.7,173162
1692,0,0.0,0.0,173375,764,695,-1.38,-2.57,173264
1800,0,0.0,0.0,173481,771,706,2.56,5.7,173370
2037,0,0.0,0.0,173590,762,698,-3.22,-0.09,173479
2037,0,0.0,0.0,173693,762,703,-2.64,2.68,173581
2111,0,0.0,0.0,173794,770,698,3.8,-0.72,173683
2220,0,0.0,0.0,173900,758,712,-5.12,8.41,173789
2329,0,0.0,0.0,174009,763,699,-1.24,-1.12,173898
2445,0,0.0,0.0,174118,765,699,0.08,-0.85,174007
2652,0,0.0,0.0,174223,766,696,1.02,-2.94,174112
2652,0,0.0,0.0,174327,765,696,-0.09,-1.71,174215
2855,0,0.0,0.0,174429,764,703,-0.2,0.99,174318
2855,0,0.0,0.0,174532,768,698,1.0,-1.83,174420
3059,0,0.0,0.0,174634,772,701,4.06,0.4,174523
3060,0,0.0,0.0,174737,757,700,-6.47,-0.31,174625
3362,0,0.0,0.0,174839,762,706,-2.5,4.22,174728
3362,0,0.0,0.0,174942,770,695,2.84,-2.23,174830
3496,0,0.0,0.0,175044,766,696,-0.29,-3.66,174933
3496,0,0.0,0.0,175147,766,697,-0.9,-1.22,175035
3674,0,0.0,0.0,175249,764,700,-1.26,1.42,175138
3674,0,0.0,0.0,175352,764,697,-1.29,-1.75,175240
3915,0,0.0,0.0,175454,755,704,-6.94,4.05,175343
3915,0,0.0,0.0,175557,763,699,-0.84,0.13,175445
4181,0,0.0,0.0,175668,761,710,-2.56,5.7,175557
4350,0,0.0,0.0,175772,763,705,-1.22,2.98,175661
4351,0,0.0,0.0,175875,762,707,-2.81,4.47,175763
4591,0,0.0,0.0,175977,764,697,-0.71,-2.25,175866
4592,0,0.0,0.0,176080,766,694,1.5,-4.23,175968
4796,0,0.0,0.0,176182,767,703,-0.08,2.92,176071
4796,0,0.0,0.0,176285,777,701,7.31,2.43,176173
5000,0,0.0,0.0,176388,763,700,-2.1,-0.19,176277
5001,0,0.0,0.0,176491,766,697,-0.55,-3.16,176379
5206,0,0.0,0.0,176593,763,699,-1.97,0.39,176482
5206,0,0.0,0.0,176697,767,698,1.16,-0.79,176585
5410,0,0.0,0.0,176800,769,697,3.21,-1.54,176689
5410,0,0.0,0.0,176903,762,701,-1.85,0.76,176791
5615,0,0.0,0.0,177006,765,689,0.46,-5.37,176895
5616,0,0.0,0.0,177109,763,707,-1.06,4.42,176997
5819,0,0.0,0.0,177211,767,705,2.09,3.66,177100
5820,0,0.0,0.0,177314,759,697,-5.61,-1.8,177202
6026,0,0.0,0.0,177417,759,703,-3.7,1.66,177306
6026,0,0.0,0.0,177520,767,699,1.96,-1.67,177408
6230,0,0.0,0.0,177623,764,700,-0.54,-1.09,177512
6230,0,0.0,0.0,177726,767,697,1.89,-3.02,177614
6435,0,0.0,0.0,177829,768,699,2.4,-0.44,177718
6435,0,0.0,0.0,177932,769,693,3.0,-5.64,177820
6639,0,0.0,0.0,178034,758,695,-5.03,-1.8,177923
6639,0,0.0,0.0,178137,765,700,1.01,-0.67,178025
6844,0,0.0,0.0,178240,767,702,-0.2,1.03,178129
6844,0,0.0,0.0,178344,763,699,-2.49,0.77,178232
7049,0,0.0,0.0,178447,765,705,0.21,4.38,178336
7050,0,0.0,0.0,178550,767,697,1.06,-1.4,178438
7253,0,0.0,0.0,178652,770,703,3.71,1.59,178541
7253,0,0.0,0.0,178755,760,698,-2.89,0.11,178643
7459,0,0.0,0.0,178857,767,698,1.22,-2.83,178746
7460,0,0.0,0.0,178960,771,702,3.53,1.17,178848
7664,0,0.0,0.0,179063,769,705,2.69,2.57,178952
7664,0,0.0,0.0,179166,765,700,-1.67,-1.03,179054
7869,0,0.0,0.0,179268,757,702,-6.66,1.34,179157
7869,0,0.0,0.0,179371,768,699,1.38,0.27,179259
8072,0,0.0,0.0,179474,768,696,0.46,-1.21,179363
8073,0,0.0,0.0,179577,763,698,-1.72,1.07,179465
8277,0,0.0,0.0,179680,764,707,-0.44,6.4,179569
8277,0,0.0,0.0,179783,763,697,-1.57,-1.68,179671
8343,0,0.0,0.0,179885,765,699,-1.23,-1.06,179774
8343,0,0.0,0.0,179988,764,704,-1.31,2.37,179876
8789,0,0.0,0.0,180091,761,698,-2.19,-2.66,179980
8789,0,0.0,0.0,180194,770,697,4.3,-2.07,180082
9097,0,0.0,0.0,180296,763,696,-0.93,-2.17,180185
9098,0,0.0,0.0,180399,768,698,2.33,-1.29,180287
9098,0,0.0,0.0,180502,764,698,-1.41,-0.46,180391
9098,0,0.0,0.0,180605,771,703,4.12,1.1,180493
9302,0,0.0,0.0,180706,768,703,1.29,2.16,180595
9303,0,0.0,0.0,180809,768,699,0.4,-1.06,180697
9507,0,0.0,0.0,180911,767,708,0.48,4.22,180800
9507,0,0.0,0.0,181014,773,698,3.79,-2.4,180902
9712,0,0.0,0.0,181117,767,701,-0.09,-0.42,181006
9712,0,0.0,0.0,181220,770,700,2.36,-0.21,181108
9917,0,0.0,0.0,181323,769,695,1.41,-3.68,181212
9917,0,0.0,0.0,181426,768,699,0.57,-0.03,181314
10024,0,0.0,0.0,181528,772,703,3.44,1.39,181417
10024,0,0.0,0.0,181631,770,699,2.43,0.15,181519
10326,0,0.0,0.0,181734,761,713,-3.64,9.31,181623
10326,0,0.0,0.0,181837,761,704,-2.97,4.1,181725
10531,0,0.0,0.0,181939,767,700,0.56,-0.7,181828
10531,0,0.0,0.0,182042,773,701,4.9,0.49,181930
10736,0,0.0,0.0,182145,764,706,-1.48,3.41,182034
10736,0,0.0,0.0,182248,766,699,0.35,-1.04,182136
10941,0,0.0,0.0,182350,773,699,4.06,-1.61,182239
10941,0,0.0,0.0,182453,762,699,-3.39,-1.46,182341
11145,0,0.0,0.0,182555,764,700,-2.27,0.35,182444
11145,0,0.0,0.0,182658,764,698,-1.41,-2.41,182546
11349,0,0.0,0.0,182761,765,698,-1.44,-1.16,182650
11350,0,0.0,0.0,182864,759,706,-5.08,4.21,182752
11555,0,0.0,0.0,182967,770,699,3.18,-0.55,182856
11555,0,0.0,0.0,183070,766,693,0.61,-6.25,182958
11759,0,0.0,0.0,183172,768,695,2.54,-3.5,183061
11759,0,0.0,0.0,183275,765,705,0.2,4.05,183163
11964,0,0.0,0.0,183377,769,700,3.04,0.22,183266
11964,0,0.0,0.0,183480,766,701,0.85,0.57,183368
12170,0,0.0,0.0,183582,766,700,-0.01,0.43,183471
12170,0,0.0,0.0,183685,769,702,1.86,2.18,183573
12374,0,0.0,0.0,183788,768,705,2.02,3.76,183677
12374,0,0.0,0.0,183891,768,713,1.27,8.78,183779
12578,0,0.0,0.0,183994,768,702,2.1,0.7,183883
12579,0,0.0,0.0,184097,767,693,-0.65,-5.62,183985
12784,0,0.0,0.0,184199,772,701,2.96,-0.18,184088
12784,0,0.0,0.0,184302,764,703,-2.47,1.43,184190
12989,0,0.0,0.0,184405,759,694,-4.92,-3.43,184294
12989,0,0.0,0.0,184509,765,698,-1.39,0.6,184398
13194,0,0.0,0.0,184611,762,702,-3.73,2.39,184500
13194,0,0.0,0.0,184714,770,700,2.96,-0.18,184602
13397,0,0.0,0.0,184818,777,699,9.04,-1.23,184706
13398,0,0.0,0.0,184921,758,702,-6.43,1.23,184809
13603,0,0.0,0.0,185024,760,697,-4.42,-2.07,184913
13604,0,0.0,0.0,185127,765,705,0.83,3.89,185015
13756,0,0.0,0.0,185229,764,703,0.9,1.62,185118
13756,0,0.0,0.0,185332,768,700,2.71,-0.14,185220
14012,0,0.0,0.0,185435,762,703,-1.22,1.9,185324
14012,0,0.0,0.0,185538,766,703,0.65,2.27,185426
14217,0,0.0,0.0,185640,766,693,1.73,-6.84,185529
14217,0,0.0,0.0,185743,761,704,-3.78,1.45,185631
14422,0,0.0,0.0,185846,775,697,5.85,-2.49,185735
14423,0,0.0,0.0,185949,765,699,-0.47,-0.28,185837
14571,0,0.0,0.0,186052,771,700,4.09,0.49,185941
14572,0,0.0,0.0,186155,760,696,-3.33,-2.84,186043
14736,0,0.0,0.0,186258,766,702,1.28,0.19,186147
14736,0,0.0,0.0,186361,767,703,-0.21,0.77,186249
14937,0,0.0,0.0,186463,755,698,-6.6,-1.43,186352
14938,0,0.0,0.0,186566,768,703,2.05,1.58,186454
14987,0,0.0,0.0,186669,765,708,-1.28,5.81,186558
15144,0,0.0,0.0,186775,763,701,-1.19,0.16,186664
15350,0,0.0,0.0,186878,772,702,5.16,-0.17,186767
15350,0,0.0,0.0,186983,764,700,-0.01,-0.56,186871
15554,0,0.0,0.0,187085,765,698,0.69,-1.28,186974
15554,0,0.0,0.0,187190,761,694,-1.63,-5.55,187078
15761,0,0.0,0.0,187292,768,697,1.91,-3.19,187181
15761,0,0.0,0.0,187395,763,699,-2.98,-1.41,187283
16061,0,0.0,0.0,187497,763,705,-2.61,2.31,187386
16061,0,0.0,0.0,187600,766,696,0.29,-3.45,187488
16266,0,0.0,0.0,187703,760,698,-3.68,-2.1,187592
16266,0,0.0,0.0,187806,765,700,-1.19,0.39,187694
16470,0,0.0,0.0,187908,764,700,-1.67,-0.44,187797
16470,0,0.0,0.0,188012,767,708,0.74,5.38,187900
16675,0,0.0,0.0,188114,765,703,-0.28,2.22,188003
16675,0,0.0,0.0,188218,762,701,-4.02,0.02,188106
16880,0,0.0,0.0,188320,767,690,-0.05,-6.38,188209
16880,0,0.0,0.0,188424,770,710,2.28,8.23,188312
17084,0,0.0,0.0,188526,762,709,-2.48,7.28,188415
17084,0,0.0,0.0,188629,765,697,-1.45,-2.34,188517
17289,0,0.0,0.0,188731,771,703,3.79,1.24,188620
17289,0,0.0,0.0,188835,770,695,1.96,-2.82,188723
17494,0,0.0,0.0,188936,768,702,1.41,3.34,188825
17495,0,0.0,0.0,189040,766,701,-0.09,-0.62,188928
17698,0,0.0,0.0,189142,760,702,-4.39,1.8,189031
17699,0,0.0,0.0,189245,773,699,4.27,-2.18,189133
17903,0,0.0,0.0,189346,762,702,-3.72,0.61,189235
17904,0,0.0,0.0,189449,764,701,-0.43,0.0,189337
18109,0,0.0,0.0,189550,771,699,2.28,-0.25,189439
18109,0,0.0,0.0,189654,765,703,-0.93,2.11,189542
18313,0,0.0,0.0,189756,765,702,-0.92,0.73,189645
18314,0,0.0,0.0,189859,766,701,0.09,-0.49,189747
18518,0,0.0,0.0,189960,762,703,-1.12,1.86,189849
18518,0,0.0,0.0,190063,760,698,-3.14,-1.2,189951
18722,0,0.0,0.0,190166,764,694,-0.29,-5.8,190054
18722,0,0.0,0.0,190269,762,691,-1.23,-4.16,190157
18927,0,0.0,0.0,190370,769,695,2.75,-2.24,190259
18927,0,0.0,0.0,190473,763,710,-0.92,7.95,190361
19132,0,0.0,0.0,190574,771,696,1.8,-2.27,190463
19132,0,0.0,0.0,190677,764,703,-1.94,0.88,190565
19337,0,0.0,0.0,190778,766,697,0.48,-1.94,190667
19337,0,0.0,0.0,190881,762,702,-3.72,1.7,190769
19542,0,0.0,0.0,190983,762,702,-1.29,0.37,190872
19542,0,0.0,0.0,191086,770,699,2.11,0.79,190974
19748,0,0.0,0.0,191188,759,695,-4.09,-4.5,191077
19748,0,0.0,0.0,191291,786,699,12.91,-0.69,191179
19952,0,0.0,0.0,191393,766,696,-0.72,-2.56,191281
19953,0,0.0,0.0,191496,764,696,-2.46,-2.41,191384
20119,0,0.0,0.0,191597,769,699,1.59,0.18,191486
20119,0,0.0,0.0,191701,768,696,0.26,-2.33,191589
20305,0,0.0,0.0,191803,773,708,3.58,6.62,191692
20306,0,0.0,0.0,191906,765,693,-3.55,-3.53,191794
20567,0,0.0,0.0,192009,759,708,-6.85,6.09,191897
20567,0,0.0,0.0,192112,762,700,-4.55,-0.13,192000
20714,0,0.0,0.0,192214,771,703,2.98,1.92,192103
20714,0,0.0,0.0,192317,772,697,2.4,-1.99,192205
20975,0,0.0,0.0,192418,769,698,1.14,0.37,192307
20976,0,0.0,0.0,192522,772,698,2.84,-0.61,192410
21181,0,0.0,0.0,192623,762,704,-2.98,3.38,192512
21181,0,0.0,0.0,192726,776,702,6.0,2.05,192614
21382,0,0.0,0.0,192827,765,711,-0.93,7.82,192716
21382,0,0.0,0.0,192930,763,699,-2.52,-2.33,192818
21590,0,0.0,0.0,193031,765,698,-1.01,-2.26,192920
21591,0,0.0,0.0,193135,765,700,0.1,-0.94,193023
21795,0,0.0,0.0,193237,774,689,6.02,-7.48,193126
21796,0,0.0,0.0,193340,761,698,-2.53,-0.89,193228
22000,0,0.0,0.0,193442,764,698,-1.17,0.04,193331
22000,0,0.0,0.0,193545,768,700,1.51,1.23,193433
