pc_time_ms,emg_raw,emg_clean,emg_env,emg_ts,ppg_red_raw,ppg_ir_raw,ppg_red,ppg_ir,ppg_ts
78,0,0.0,0.0,18795,761,700,-0.43,4.12,18683
282,0,0.0,0.0,18901,764,691,1.42,-0.78,18789
487,0,0.0,0.0,19004,759,697,-2.51,2.59,18892
487,0,0.0,0.0,19107,764,683,0.62,-6.85,18994
594,0,0.0,0.0,19209,763,697,-0.9,3.65,19097
595,0,0.0,0.0,19312,757,692,-4.98,-1.12,19199
897,0,0.0,0.0,19413,762,687,-1.42,-4.29,19301
898,0,0.0,0.0,19516,774,696,7.84,4.52,19403
1101,0,0.0,0.0,19618,771,708,3.66,9.45,19506
1102,0,0.0,0.0,19721,762,691,-2.6,-3.62,19608
1307,0,0.0,0.0,19823,762,699,-2.85,2.54,19711
1307,0,0.0,0.0,19926,762,698,-1.04,1.52,19813
1512,0,0.0,0.0,20028,761,697,-2.17,2.93,19916
1512,0,0.0,0.0,20131,763,694,-0.95,-1.5,20018
1717,0,0.0,0.0,20233,767,695,3.13,-0.78,20121
1717,0,0.0,0.0,20336,766,696,2.72,-0.26,20223
1921,0,0.0,0.0,20438,769,695,3.74,-0.08,20326
1921,0,0.0,0.0,20541,758,692,-4.49,-3.31,20428
2126,0,0.0,0.0,20643,763,690,0.59,-3.19,20531
2126,0,0.0,0.0,20746,772,693,4.35,-1.82,20633
2330,0,0.0,0.0,20848,759,700,-5.54,3.49,20736
2330,0,0.0,0.0,20952,763,694,-2.66,-0.1,20839
2435,0,0.0,0.0,21054,763,689,-0.34,-3.36,20942
2436,0,0.0,0.0,21157,758,692,-3.76,-1.42,21044
2643,0,0.0,0.0,21258,759,701,-2.59,4.59,21146
2643,0,0.0,0.0,21361,759,688,-1.82,-5.54,21248
