pc_time_ms,emg_raw,emg_clean,emg_env,emg_ts,ppg_red_raw,ppg_ir_raw,ppg_red,ppg_ir,ppg_ts
72,0,0.0,0.0,46609,769,706,-0.77,1.04,46498
212,0,0.0,0.0,46716,762,712,-5.15,5.2,46605
285,0,0.0,0.0,46820,773,704,1.05,-0.4,46708
515,0,0.0,0.0,46928,769,708,-0.81,2.42,46817
720,0,0.0,0.0,47031,769,705,-1.4,0.28,46920
720,0,0.0,0.0,47134,775,706,3.31,0.34,47022
925,0,0.0,0.0,47235,770,719,-0.65,8.73,47124
925,0,0.0,0.0,47338,775,709,1.77,2.35,47226
1129,0,0.0,0.0,47439,769,717,-2.14,6.45,47328
1130,0,0.0,0.0,47542,765,715,-5.17,4.62,47430
1334,0,0.0,0.0,47643,769,712,-0.95,2.66,47532
1335,0,0.0,0.0,47746,768,714,-1.4,3.77,47634
1540,0,0.0,0.0,47848,769,712,-1.81,3.41,47737
1540,0,0.0,0.0,47951,771,702,1.11,-4.54,47839
1744,0,0.0,0.0,48053,769,699,-1.01,-5.96,47942
1744,0,0.0,0.0,48156,773,702,1.87,-3.83,48044
1950,0,0.0,0.0,48257,768,709,-1.98,2.27,48146
1950,0,0.0,0.0,48360,776,713,3.15,5.0,48248
2154,0,0.0,0.0,48461,765,703,-3.82,-1.77,48350
2154,0,0.0,0.0,48564,770,707,0.34,0.06,48452
2260,0,0.0,0.0,48665,770,701,-0.42,-3.35,48554
2260,0,0.0,0.0,48768,771,695,0.5,-7.26,48656
2468,0,0.0,0.0,48869,769,702,-0.52,-3.16,48758
2468,0,0.0,0.0,48972,778,704,4.69,0.38,48860
2669,0,0.0,0.0,49074,768,709,-1.29,3.98,48963
