pc_time_ms,emg_raw,emg_clean,emg_env,emg_ts,ppg_red_raw,ppg_ir_raw,ppg_red,ppg_ir,ppg_ts
117,0,0.0,0.0,114978,764,709,-3.08,2.36,114867
117,0,0.0,0.0,115081,762,700,-3.46,-0.78,114969
417,0,0.0,0.0,115184,768,710,0.1,5.18,115073
417,0,0.0,0.0,115288,767,694,0.11,-5.76,115176
623,0,0.0,0.0,115390,768,701,0.36,-0.86,115279
624,0,0.0,0.0,115493,763,701,-2.67,-0.24,115381
729,0,0.0,0.0,115596,771,701,4.35,-0.14,115485
730,0,0.0,0.0,115699,778,698,7.49,-1.36,115587
1032,0,0.0,0.0,115802,763,703,-4.83,1.19,115691
1033,0,0.0,0.0,115905,762,705,-6.69,2.76,115793
1139,0,0.0,0.0,116008,773,708,2.49,3.09,115897
1140,0,0.0,0.0,116111,769,700,0.66,-2.53,115999
1344,0,0.0,0.0,116213,760,693,-6.11,-5.86,116102
1344,0,0.0,0.0,116316,774,703,3.82,1.21,116204
1548,0,0.0,0.0,116418,765,707,-2.75,3.57,116307
1549,0,0.0,0.0,116521,766,707,-0.59,3.17,116409
1755,0,0.0,0.0,116623,768,697,-0.06,-3.07,116512
1755,0,0.0,0.0,116726,769,703,1.55,1.61,116614
1960,0,0.0,0.0,116829,771,697,1.8,-2.86,116718
1960,0,0.0,0.0,116932,769,706,-0.17,3.65,116820
2162,0,0.0,0.0,117034,770,704,1.47,0.68,116923
2162,0,0.0,0.0,117137,769,694,-0.69,-5.24,117025
2466,0,0.0,0.0,117240,769,701,0.07,0.03,117129
