ts,red_raw,ir_raw,red_f,ir_f,bpm,spo2
6,5541.0,8561.0,49.08,48.81,0.0,100.0
7,5526.0,8560.0,53.92,59.63,0.0,100.0
8,5742.0,8724.0,133.91,124.06,0.0,100.0
9,5720.0,8723.0,169.09,158.1,0.0,100.0
11,5750.0,8742.0,196.45,181.06,0.0,100.0
12,5743.0,8740.0,205.23,189.47,0.0,100.0
12,5716.0,8727.0,195.83,185.28,0.0,100.0
14,5621.0,8616.0,151.43,138.34,0.0,100.0
15,5625.0,8594.0,123.78,100.07,0.0,100.0
16,5623.0,8575.0,104.25,68.78,0.0,100.0
17,5582.0,8578.0,75.7,50.22,0.0,100.0
17,5674.0,8677.0,90.88,74.29,0.0,100.0
18,5660.0,8687.0,92.5,90.14,0.0,100.0
19,5688.0,8696.0,101.49,100.5,0.0,100.0
21,5679.0,8686.0,101.1,100.57,0.0,100.0
23,5684.0,8693.0,100.38,100.86,0.0,100.0
24,5733.0,8746.0,115.47,117.96,0.0,100.0
26,5705.0,8757.0,111.39,129.15,0.0,100.0
27,5718.0,8790.0,111.21,144.65,0.0,100.0
28,5733.0,8801.0,114.01,154.3,0.0,100.0
29,5728.0,8762.0,111.22,142.2,0.0,100.0
31,5761.0,8796.0,119.05,144.3,0.0,100.0
32,5745.0,8782.0,115.04,137.15,0.0,100.0
33,5737.0,8788.0,107.2,132.06,0.0,100.0
34,5737.0,8798.0,100.23,129.74,0.0,100.0
36,5725.0,8798.0,89.55,125.44,0.0,100.0
37,5717.0,8800.0,78.44,120.82,0.0,100.0
39,5699.0,8814.0,63.69,120.48,0.0,100.0
41,5708.0,8791.0,56.98,109.18,0.0,100.0
43,5721.0,8816.0,56.53,109.24,0.0,100.0
44,5731.0,8800.0,58.61,100.97,0.0,100.0
45,5727.0,8802.0,57.02,94.62,0.0,100.0
46,5722.0,8786.0,52.99,82.98,0.0,100.0
47,5740.0,8809.0,55.98,82.71,0.0,100.0
48,5736.0,8807.0,54.98,79.94,0.0,100.0
50,5725.0,8810.0,49.16,77.61,0.0,100.0
50,5718.0,8805.0,42.13,72.67,0.0,100.0
51,5714.0,8799.0,35.65,65.99,0.0,100.0
53,5721.0,8802.0,33.64,61.71,0.0,100.0
54,5722.0,8791.0,32.07,53.83,0.0,100.0
57,5739.0,8794.0,36.61,49.14,0.0,100.0
59,5742.0,8807.0,39.48,50.03,0.0,100.0
60,5710.0,8778.0,28.62,38.88,0.0,100.0
61,5764.0,8809.0,41.3,42.8,0.0,100.0
62,5417.0,8503.0,-78.29,-67.01,0.0,100.0
64,5404.0,8508.0,-150.33,-127.11,0.0,100.0
65,5395.0,8538.0,-191.8,-148.05,0.0,100.0
66,5411.0,8548.0,-205.57,-153.14,0.0,100.0
67,5742.0,8833.0,-88.67,-49.12,0.0,100.0
68,5749.0,8843.0,-16.56,15.74,0.0,97.9
74,5745.0,8851.0,24.04,55.76,0.0,96.0
76,5551.0,8770.0,-23.49,48.21,0.0,94.3
77,5743.0,8863.0,19.29,76.51,0.0,92.8
78,5265.0,8484.0,-129.97,-46.49,63.8,91.3
80,5264.0,8484.0,-213.62,-116.49,63.8,89.9
82,5266.0,8480.0,-256.35,-155.74,63.8,88.6
83,5287.0,8494.0,-267.57,-169.78,63.8,87.4
84,5703.0,8912.0,-116.92,-22.27,63.8,86.2
85,5694.0,8923.0,-30.47,67.48,63.8,85.2
86,5690.0,8910.0,18.73,113.07,63.8,84.2
88,5697.0,8905.0,49.27,135.02,63.8,83.4
89,5691.0,8915.0,63.62,148.26,63.8,82.7
91,5732.0,8902.0,85.34,147.8,63.8,82.0
92,5733.0,8916.0,96.31,149.25,63.8,81.5
94,5720.0,8924.0,95.73,149.59,63.8,81.0
95,5735.0,8910.0,98.66,141.29,63.8,80.6
96,5739.0,8902.0,99.55,130.36,63.8,80.2
97,5697.0,8904.0,82.55,121.8,63.8,79.9
99,5745.0,8935.0,88.27,125.33,63.8,79.6
101,5714.0,8914.0,78.3,116.89,63.8,79.3
103,5743.0,8926.0,81.29,113.7,59.9,79.1
104,5740.0,8941.0,80.07,114.71,57.2,78.8
106,5746.0,8926.0,79.72,107.23,55.3,78.6
108,5765.0,8931.0,84.59,102.28,54.0,78.5
110,5761.0,8946.0,84.03,102.53,53.0,78.3
112,5736.0,8911.0,72.71,87.63,52.4,78.2
114,5744.0,8941.0,67.41,87.91,51.9,78.0
115,5740.0,8937.0,61.36,84.62,51.6,77.9
117,5761.0,8945.0,64.09,83.69,51.4,77.8
118,5768.0,8936.0,66.75,77.97,51.2,77.7
119,5747.0,8946.0,59.14,76.52,51.1,77.6
120,5766.0,8914.0,60.29,62.32,51.0,77.5
123,5765.0,8951.0,59.21,66.13,51.0,77.5
125,5761.0,8926.0,55.79,57.74,50.9,77.4
126,5768.0,8935.0,55.08,54.85,50.9,77.4
127,5625.0,8883.0,1.5,33.04,50.9,77.3
128,5733.0,9026.0,9.71,71.61,50.9,77.3
130,5792.0,9017.0,35.66,88.99,50.9,77.2
132,5755.0,9015.0,36.4,96.28,50.9,77.2
